tokens,Original Sentence,Gold Sentence,Correction,Correct or Incorrect
19548,"Kahit na may mga pagkakamali kaming nagawa ay pinatawad pa rin nila kami, ay tinanggap pa rin nila kami. Ang sarap sumayaw sa Eat Bulaga kung saan ka nagsimula, sabi ni Rochelle. --FRJ, GMA Integrated News.","Kahit na may mga pagkakamali kaming nagawa ay pinatawad pa rin nila kami, ay tinanggap pa rin nila kami. Ang sarap sumayaw sa Eat Bulaga kung saan ka nagsimula, sabi ni Rochelle. --FRJ, GMA Integrated News.",multiple_capital,Correct
4479,"Alam mo pagka ang sumatotal nitong sabihin mo public health. Anong public health? Public health yan kasi ang sabi ko ang dead end niyan is kamatayan. Dapat maintindihan ito ng mga kababayan natin: kailangan lahat ay magpabakuna, pagbibigay-diin ni Duterte.","Alam mo pagka ang sumatotal nitong sabihin mo public health. Anong public health? Public health yan kasi ang sabi ko ang dead end niyan is kamatayan. Dapat maintindihan ito ng mga kababayan natin: kailangan lahat ay magpabakuna, pagbibigay-diin ni Duterte.",multiple_add_punc_qmark,Correct
13492,"Willing naman kami na gawin yung gusto nilang hakbang na ibalik namin yung bangkay tapos kunin namin yung lolo namin. Ilagay namin doon sa kung saan yung pinaglibingan niya, ayon kay Nico Guinto.-- FRJ, GMA News.","Willing naman kami na gawin yung gusto nilang hakbang na ibalik namin yung bangkay tapos kunin namin yung lolo namin. Ilagay namin doon sa kung saan yung pinaglibingan niya, ayon kay Nico Guinto.-- FRJ, GMA News.",multiple_change_punc_period,Correct
18037,"Dahilan diyan, napasok na ng panibagong kinatatakutang variant ang Pilipinas.","Dahilan diyan, napasok na ng panibagong kinatatakutang variant ang Pilipinas.",delete,Correct
58,Nagpapasalamat ang dalaga dahil hindi raw kinailangang pilitin siyang mag-artista ng mga magulang.,Nagpapasalamat ang dalaga dahil hindi raw kinailangang pilitin siyang mag-artista ng mga magulang.,transform_split_space,Correct
10777,"Noong Hunyo, personal naman na nagtungo sa Davao City si Teodoro upang kausapin ang anak ni Pangulong Rodrigo Duterte para sa hangarin umano nitong tumakbo bilang bise presidente niya.","Noong Hunyo, personal naman na nagtungo sa Davao City si Teodoro upang kausapin ang anak ni Pangulong Rodrigo Duterte para sa hangarin umano nitong tumakbo bilang bise presidente niya.",transform_verb_compact,Correct
9999,"Speaking of ABS-CBN na ang duda ay after pa ng administration ni Pangulong Duterte magkakaroon uli ng franchise, muli silang kinilala dahil sa maayos na pamamalakad nito sa kumpanya kasama ang iba pang mahuhusay na organisasyon sa Pilipinas sa ginanap na ASEAN Corporate Governance Scorecard (ACGS) Golden Arrow Awards noong ika-19 ng Pebrero.","Speaking of ABS-CBN na ang duda ay after pa ng administration ni Pangulong Duterte magkakaroon uli ng franchise, muli silang kinilala dahil sa maayos na pamamalakad nito sa kumpanya kasama ang iba pang mahuhusay na organisasyon sa Pilipinas sa ginanap na ASEAN Corporate Governance Scorecard (ACGS) Golden Arrow Awards noong ika-19 ng Pebrero.",transform_verb_compobj,Correct
13223,Narinig kasi niya ang ilang baklang kasama niya sa isang taping na pinag-uusapan ang isang poging male star na diumano ay “date for pay” ang trabaho ngayon.,Narinig kasi niya ang ilang baklang kasama niya sa isang taping na pinag-uusapan ang isang poging male star na diumano ay “date for pay” ang trabaho ngayon.,merge_hyphen,Correct
9387,Parang di lang consistent yung messaging na pwede silang pagala-gala pero di sila nag-aaral.,Parang di lang consistent yung messaging na pwede silang pagala-gala pero di sila nag-aaral.,replace_sila,Correct
1390,"Ikatlo, kasalukuyan itong No.","Ikatlo, kasalukuyan itong No.",transform_split_hyphen,Correct
6850,"Samantala sa karagdagang 113 kaso ng Alpha variant, 104 ang lokal na kaso, 1 ang ROF at 8 pa ang bineberipika kung lokal o ROF at sa case line list 2 ang namatay at 111 ang nakarekober at umabot na rin sa 1,968 ang kabuuang Alpha variants case sa bansa.","Samantala sa karagdagang 113 kaso ng Alpha variant, 104 ang lokal na kaso, 1 ang ROF at 8 pa ang bineberipika kung lokal o ROF at sa case line list 2 ang namatay at 111 ang nakarekober at umabot na rin sa 1,968 ang kabuuang Alpha variants case sa bansa.",merge_space,Correct
20915,Sa pagdiriwang ng National Womens Month ay muling ipinaalala kung gaano kahalaga ang karapatan at kakayahan ng mga kababaihan sa ating lipunan. Panahon na upang baguhin ang kapalaran ng mga babae na may malaking ambag sa simpleng mundong kanyang ginagalawan.,Sa pagdiriwang ng National Womens Month ay muling ipinaalala kung gaano kahalaga ang karapatan at kakayahan ng mga kababaihan sa ating lipunan. Panahon na upang baguhin ang kapalaran ng mga babae na may malaking ambag sa simpleng mundong kanyang ginagalawan.,multiple_capital,Correct
18408,"Nagpapasok lang kami rito ng mga taong may vaccination card, na complete vaccinated po. Tapos sa mga bata naman under 12-years-old kahit walang vaccination basta may magulang na kasama at may vaccine card pwede po, paliwanag ni Cordero.","Nagpapasok lang kami rito ng mga taong may vaccination card, na complete vaccinated po. Tapos sa mga bata naman under 12-years-old kahit walang vaccination basta may magulang na kasama at may vaccine card pwede po, paliwanag ni Cordero.",multiple_add_punc_period,Correct
18537,Noong Lunes nagkaroon ng rotational brownout sa ilang parte ng Luzon mula alas-10:00 ng umaga hanggang alas-4:00 ng hapon dahil sa kakulangan ng power supply at mababang power reserve sa Luzon grid bunsod sa mataas na demand sa kuryente.,Noong Lunes nagkaroon ng rotational brownout sa ilang parte ng Luzon mula alas-10:00 ng umaga hanggang alas-4:00 ng hapon dahil sa kakulangan ng power supply at mababang power reserve sa Luzon grid bunsod sa mataas na demand sa kuryente.,transform_case_lower,Correct
12350,"Kuwento ng aming source, Una, nag-offer muna ang production para sa pagbabawas ng araw sa show ng male singer.","Kuwento ng aming source, Una, nag-offer muna ang production para sa pagbabawas ng araw sa show ng male singer.",change_punc_period,Correct
19380,Ginagamit din ngayong insentibo ang pagpayag na lumabas-labas ng bahay ang senior citizens basta't sila'y fully vaccinated naatnasa general community quarantine (GCQ) at modified GCQ areas.,Ginagamit din ngayong insentibo ang pagpayag na lumabas-labas ng bahay ang senior citizens basta't sila'y fully vaccinated naatnasa general community quarantine (GCQ) at modified GCQ areas.,replace_ng,Correct
10800,Kelan kaya yun.,Kelan kaya yun.,merge_space,Correct
11243,"Ganito rin ang kuwento ni Ross Butler, na nagsabing lumpia rin ang isa sa mga paborito niyang pagkaing Pinoy.","Ganito rin ang kuwento ni Ross Butler, na nagsabing lumpia rin ang isa sa mga paborito niyang pagkaing Pinoy.",replace_rin,Correct
4911,"Sa kasagsagan ng suntukan, bigla na lang umanong bumunot ng patalim si Repollo at sinaksak ang biktima sa likod at dibdib.","Sa kasagsagan ng suntukan, bigla na lang umanong bumunot ng patalim si Repollo at sinaksak ang biktima sa likod at dibdib.",change_punc_period,Correct
7258,Walang nagsasalita sa magkabilang kampo.,Walang nagsasalita sa magkabilang kampo.,change_punc_period,Correct
4234,"Kung hihingin ko ang kanilang pagtitiwala, kailangan maipakita ko sa kanila na mapagtitiwalaan nila ako.","Kung hihingin ko ang kanilang pagtitiwala, kailangan maipakita ko sa kanila na mapagtitiwalaan nila ako.",replace_nila,Correct
6945,"Ulysses Cruz, dakong alas-5 ng hapon nang magsagawa ang mga operatiba ng DDEU ng operasyon sa Riverside St.","Ulysses Cruz, dakong alas-5 ng hapon nang magsagawa ang mga operatiba ng DDEU ng operasyon sa Riverside St.",replace_nang,Correct
2132,Ipinatawag daw siya sa opisina at pinabura ang video na ini-upload niya sa Tiktok.,Ipinatawag daw siya sa opisina at pinabura ang video na ini-upload niya sa Tiktok.,replace_daw,Correct
9991,"Live na live mapapanood ang pagpasok nina Christian Bables, CJ Navato, Geneva Cruz, iDolls, Klarisse de Guzman, Lie Reposposa, at Vivoree Esclito sa iconator para makuha ang premyong tropeo, brand new house and lot, at P1 milyon, at sa pagkakataong ito, sila mismo ang pipili ng kanilang gagayahing music icon.","Live na live mapapanood ang pagpasok nina Christian Bables, CJ Navato, Geneva Cruz, iDolls, Klarisse de Guzman, Lie Reposposa, at Vivoree Esclito sa iconator para makuha ang premyong tropeo, brand new house and lot, at P1 milyon, at sa pagkakataong ito, sila mismo ang pipili ng kanilang gagayahing music icon.",replace_sila,Correct
12250,"Sa ulat ni Cyril Chavez sa GMA Regional TV News nitong Biyernes, makikita sa amateur video ang pagsisikap ng mga tao na maiangat ang nakabaligtad na six-wheeler truck sa Barangay Baliwagan noong Miyerkules.","Sa ulat ni Cyril Chavez sa GMA Regional TV News nitong Biyernes, makikita sa amateur video ang pagsisikap ng mga tao na maiangat ang nakabaligtad na six-wheeler truck sa Barangay Baliwagan noong Miyerkules.",transform_verb_contobj,Correct
20028,"Idineklara na ng Konggreso sina Ferdinand ""Bongbong"" Marcos Jr. at Davao City Mayor Sara Dutertre-Carpio bilang panalo sa pagkapangulo at pagkabise sa nagdaang 2022 national elections.","Idineklara na ng Konggreso sina Ferdinand ""Bongbong"" Marcos Jr. at Davao City Mayor Sara Dutertre-Carpio bilang panalo sa pagkapangulo at pagkabise sa nagdaang 2022 national elections.",multiple_change_punc_period,Correct
22875,Sa dami ng dumagsa ay nagkaroon ng tulakan at may ilang nasaktan.,Sa dami ng dumagsa ay nagkaroon ng tulakan at may ilang nasaktan.,transform_split_space,Correct
19658,Ngunit nabigo siyang burahin ang kanyang personal record nang ma-foul sa kanyang mga attempts sa mas mataas na 6.19m.,Ngunit nabigo siyang burahin ang kanyang personal record nang ma-foul sa kanyang mga attempts sa mas mataas na 6.19m.,merge_hyphen,Correct
8398,Kumbaga mataas ang respeto ko sa babae na yan.,Kumbaga mataas ang respeto ko sa babae na yan.,merge_space,Correct
19093,"Bukod dito, binati rin si Elijah ng fans sa kaniyang achievement.","Bukod dito, binati rin si Elijah ng fans sa kaniyang achievement.",transform_split_hyphen,Correct
19256,"Nagtatatalak ang isang film producer nang ang ginawa nilang gay film ay pinirata at inilabas nang libre sa social media, kaya roon na lang nanood ang mga bading kahit na nag-bargain na sila ng bayad sa internet at ikinalat pang hindi maganda ang pelikula.","Nagtatatalak ang isang film producer nang ang ginawa nilang gay film ay pinirata at inilabas nang libre sa social media, kaya roon na lang nanood ang mga bading kahit na nag-bargain na sila ng bayad sa internet at ikinalat pang hindi maganda ang pelikula.",transform_verb_compact,Correct
1897,"Sabi ni Rey, ang laking realization sa kanya itong nangyaring COVID pandemic dahil dito nakikitang hindi natin tiyak ang bukas kung buhay pa ba tayo.","Sabi ni Rey, ang laking realization sa kanya itong nangyaring COVID pandemic dahil dito nakikitang hindi natin tiyak ang bukas kung buhay pa ba tayo.",replace_dito,Correct
19425,"Dagdag pa ni Yap, siya lang yata ang opisyal, bukod sa pangulo, na kapag dumating sa lugar ng sunog o kalamidad, ay napapasaya niya ang mga tao.","Dagdag pa ni Yap, siya lang yata ang opisyal, bukod sa pangulo, na kapag dumating sa lugar ng sunog o kalamidad, ay napapasaya niya ang mga tao.",transform_verb_compact,Correct
20882,"Imbes na pinapalitan ng makina ang pagkaempleyo ng tao, ang pag-unlad sa teknolohiya ay dapat humantong sa pagbabawas ng hours of work, nang hindi binabawasan, bagkus ay dinadagdagan pa ang sweldo, paliwanag pa ni De Guzman, na una nang sinabing dapat gamitin ang Section 14 ng Oil Deregulation Law para makontrol at iregula ang industriya dulot ng emergency situation.","Imbes na pinapalitan ng makina ang pagkaempleyo ng tao, ang pag-unlad sa teknolohiya ay dapat humantong sa pagbabawas ng hours of work, nang hindi binabawasan, bagkus ay dinadagdagan pa ang sweldo, paliwanag pa ni De Guzman, na una nang sinabing dapat gamitin ang Section 14 ng Oil Deregulation Law para makontrol at iregula ang industriya dulot ng emergency situation.",transform_insert_hyphen,Correct
12786,Aminado si Fajardo na bigo pa rin silang matukoy malaman kung sino ang driver at mga sakay ng sasakyan ni Disono at kung ilang armas ang nakatago rito.,Aminado si Fajardo na bigo pa rin silang matukoy malaman kung sino ang driver at mga sakay ng sasakyan ni Disono at kung ilang armas ang nakatago rito.,transform_verb_contobj,Correct
1660,Maging ang international flights na manggagaling sa Pilipinas ay magtataas na rin subalit kailangan munang hintayin ang desisyon ng CAB sa kanilang petisyon.,Maging ang international flights na manggagaling sa Pilipinas ay magtataas na rin subalit kailangan munang hintayin ang desisyon ng CAB sa kanilang petisyon.,replace_ng,Correct
12496,"Ngunit kapag nakita ang karo ng patay sa harap ng mga nagsasayaw, makikitangnakikipaglibingpala ang mga ito.","Ngunit kapag nakita ang karo ng patay sa harap ng mga nagsasayaw, makikitangnakikipaglibingpala ang mga ito.",transform_verb_compobj,Correct
10979,"Aniya, kahit sanay siya bilang sikat na artista sa VVIP treatment iba raw ang naging karanasan nila sa kampanya : Good example ka talaga Mam.","Aniya, kahit sanay siya bilang sikat na artista sa VVIP treatment iba raw ang naging karanasan nila sa kampanya : Good example ka talaga Mam.",replace_raw,Correct
16571,Masaya nga raw palagi sa set nila at yon ang mami-miss niya.,Masaya nga raw palagi sa set nila at yon ang mami-miss niya.,transform_case_lower,Correct
20288,"Sa Facebook post ni Pebbles Duque, dating director ng Bureau of Communications Services, nakita ang dating pangulo sa isang mall sa Makati City habang nasa escalator.","Sa Facebook post ni Pebbles Duque, dating director ng Bureau of Communications Services, nakita ang dating pangulo sa isang mall sa Makati City habang nasa escalator.",change_punc_period,Correct
18879,At minalas ang isa sa kaniyang anak at nasawi nang tangkain na mangholdap.,At minalas ang isa sa kaniyang anak at nasawi nang tangkain na mangholdap.,replace_nang,Correct
13641,"Roderick C Bajado, alas-10:30 ng gabi nang magtungo ang apat na babae sakay ng kulay gray na SUV (Toyota Fortuner) na may plate numberNDK6636 sa bahay ng police officer na si Christian James Ramos Murphy ng Langkaan 2, Dasmariñas City.","Roderick C Bajado, alas-10:30 ng gabi nang magtungo ang apat na babae sakay ng kulay gray na SUV (Toyota Fortuner) na may plate numberNDK6636 sa bahay ng police officer na si Christian James Ramos Murphy ng Langkaan 2, Dasmariñas City.",delete,Correct
22987,"Ayon kina Lans at Queenie, napamahal na sa kanila ang aso kung kayat itinuturing na nila itong parang isang anakMel Matthew Doctor/LBG, GMA Itegrated News.","Ayon kina Lans at Queenie, napamahal na sa kanila ang aso kung kayat itinuturing na nila itong parang isang anakMel Matthew Doctor/LBG, GMA Itegrated News.",replace_nila,Correct
14480,Biyernes nang sabihin ng NDRRMC na papalo sa 137 ang patay dulot ng bagyo.,Biyernes nang sabihin ng NDRRMC na papalo sa 137 ang patay dulot ng bagyo.,transform_split_space,Correct
19159,"Sinabi ni Bautista, dapat ay tiyakin na maayos ang contact tracing system mula sa pagdating ng mga turista sa bansa hanggang sa pagpunta nila saan mang destinasyon sa Pilipinas para kung saka-sakali ay madali ang pagtugon sa pangangailangan ng sinumang magkakasakit.","Sinabi ni Bautista, dapat ay tiyakin na maayos ang contact tracing system mula sa pagdating ng mga turista sa bansa hanggang sa pagpunta nila saan mang destinasyon sa Pilipinas para kung saka-sakali ay madali ang pagtugon sa pangangailangan ng sinumang magkakasakit.",change_punc_period,Correct
14353,"At kapag sinabi ng Batangas na panalo ka na, hahawakan ko yan at sure na ako na panalo ako,ayon kay Duterte sa nasabing rally na dinaluhan ng libu-libong katao na inorganisa ng mga lokal na opisyal ng lalawigan sa pangunguna ni Batangas Gov.","At kapag sinabi ng Batangas na panalo ka na, hahawakan ko yan at sure na ako na panalo ako,ayon kay Duterte sa nasabing rally na dinaluhan ng libu-libong katao na inorganisa ng mga lokal na opisyal ng lalawigan sa pangunguna ni Batangas Gov.",append_t1,Correct
3988,Na-amaze ako kay Papa Pi dahil kakaiba rin talaga yung binigay niya rito. Napadali rin yung trabaho dahil sa kanya.,Na-amaze ako kay Papa Pi dahil kakaiba rin talaga yung binigay niya rito. Napadali rin yung trabaho dahil sa kanya.,multiple_change_punc_period,Correct
11072,"Ayon naman kay Lt. Gen. Alfredo Rosario Jr., commanding general ng AFP- Western Mindanao Command (AFP-Westmincom), walang naging aberya at maayosna nakapag-landing nitong Biyernes ang Lockheed C130 Hercules plane na may tail number 5011 sa paliparan ng Jolo.","Ayon naman kay Lt. Gen. Alfredo Rosario Jr., commanding general ng AFP- Western Mindanao Command (AFP-Westmincom), walang naging aberya at maayosna nakapag-landing nitong Biyernes ang Lockheed C130 Hercules plane na may tail number 5011 sa paliparan ng Jolo.",multiple_change_punc_period,Correct
2462,"Ito ang unang laro ni Paat sapul nang sumabak ito sa Champions League kasama ang Chery Tiggo sa Lipa, Batangas kung saan nagtapos sila bilang runner-up ang Crossovers.","Ito ang unang laro ni Paat sapul nang sumabak ito sa Champions League kasama ang Chery Tiggo sa Lipa, Batangas kung saan nagtapos sila bilang runner-up ang Crossovers.",replace_sila,Correct
19727,"Ang real estate agent naman na si Kanda, umutang sa online lending app ng P5,500 para sa panggatas ng kaniyang anak.","Ang real estate agent naman na si Kanda, umutang sa online lending app ng P5,500 para sa panggatas ng kaniyang anak.",transform_verb_compact,Correct
9038,Pero hindi sa lahat ng pagkakataon ay papuri at paghanga ang kaniyang natatanggap. May mga komentong kumakalmot din sa kaniyang damdamin.,Pero hindi sa lahat ng pagkakataon ay papuri at paghanga ang kaniyang natatanggap. May mga komentong kumakalmot din sa kaniyang damdamin.,multiple_add_punc_period,Correct
19301,"Sa paniwala ng OCTA Research, natuto na ang mga tao na mag-ingat dahil sa matagal na panahong nanalasa ang COVID-19 sa bansa.","Sa paniwala ng OCTA Research, natuto na ang mga tao na mag-ingat dahil sa matagal na panahong nanalasa ang COVID-19 sa bansa.",transform_insert_hyphen,Correct
9377,"Nang ipresenta ng doktor ni Marcos, nakasaad dito na binisita siya ng manggagamot nitong Huwebes at may pamamaga sa kaniyang lalamunan, at nasa 37.8.","Nang ipresenta ng doktor ni Marcos, nakasaad dito na binisita siya ng manggagamot nitong Huwebes at may pamamaga sa kaniyang lalamunan, at nasa 37.8.",replace_nang,Correct
11757,Baka hindi ko pa po panahon.,Baka hindi ko pa po panahon.,transform_split_space,Correct
6358,Nag-viral ang istorya ng mag-asawang Macx at Edwin Pantaleon dahil sa tagumpay ng kanilang negosyong ukay-ukay sa kabila ng mga naunang dinanas nilang kabiguan dulot ng pandemya na nagpabagsak sa maraming negosyo lalo na noong kasagsagan ng pananalasa ng Covid-19 sa unang hati ng 2020.,Nag-viral ang istorya ng mag-asawang Macx at Edwin Pantaleon dahil sa tagumpay ng kanilang negosyong ukay-ukay sa kabila ng mga naunang dinanas nilang kabiguan dulot ng pandemya na nagpabagsak sa maraming negosyo lalo na noong kasagsagan ng pananalasa ng Covid-19 sa unang hati ng 2020.,merge_hyphen,Correct
10890,"Ayon sa Philippine Statistics Authority, mula Enero hanggang Hulyo 2022, nasa 311,921 ang nasawi, mas mababa ito ng 31 porsyento kumpara sa 452,228 na nasawi noong nakaraang taon.","Ayon sa Philippine Statistics Authority, mula Enero hanggang Hulyo 2022, nasa 311,921 ang nasawi, mas mababa ito ng 31 porsyento kumpara sa 452,228 na nasawi noong nakaraang taon.",add_punc_period,Correct
15877,"Bahagi si Marian ng selection committee para sa ika-70 na Miss Universe ngayong taon, na gaganapin na nitong Disyembre.","Bahagi si Marian ng selection committee para sa ika-70 na Miss Universe ngayong taon, na gaganapin na nitong Disyembre.",transform_split_space,Correct
4142,"Para sa iba, mas gumaan, mas gumaan 'yung challenge kasi 'Wow hindi ako nag-iisa, dagdag pa ni Tuazon.","Para sa iba, mas gumaan, mas gumaan 'yung challenge kasi 'Wow hindi ako nag-iisa, dagdag pa ni Tuazon.",transform_insert_hyphen,Correct
12008,22 na raw sila lalabas ng lock-in.,22 na raw sila lalabas ng lock-in.,replace_sila,Correct
