Original Sentence,Gold Sentence,Correction,Correct or Incorrect
Marahil ay totoo ang kasabihan na nagiging mahalaga lamang ang isang bagay na dati nating binabalewala kung itoy mawawala na sa atin.,Marahil ay totoo ang kasabihan na nagiging mahalaga lamang ang isang bagay na dati nating binabalewala kung itoy nawala na sa atin.,transform_verb_compact,Incorrect
Sina Ongtenco at ang maybahay niyang si Luisa ay nagkaroon nang walong anak na ngayony kasama na sa pagpapatakbo ng negosyo ng pamilya.,Sina Ongtenco at ang maybahay niyang si Luisa ay nagkaroon ng walong anak na ngayony kasama na sa pagpapatakbo ng negosyo ng pamilya.,replace_ng,Incorrect
"Hinala ng duktor, may mga bu to ang bulaklak na pinitas ng bata at aksidenteng napunta sa loob ng tenga nito.","Hinala ng duktor, may mga buto ang bulaklak na pinitas ng bata at aksidenteng napunta sa loob ng tenga nito.",merge_space,Incorrect
"Sa Instagram, nag-post si AiAi ng larawan sila ni Gerald habang patungo sa Las Vegas para sa naturang seremonya.","Sa Instagram, nag-post si AiAi ng larawan nila ni Gerald habang patungo sa Las Vegas para sa naturang seremonya.",replace_nila,Incorrect
"May mga sumusugal pa rin naman sa kanya, pero siya ang nagtatamad-tamaran","May mga sumusugal pa rin naman sa kanya, pero siya ang nagtatamad-tamaran!",add_punc_emark,Incorrect
Pero kaya kaya yun.,Pero kaya yun.,delete,Incorrect
"Ayon sa suspek, matagal na umano nilang problema ang anak at hindi na niya nakatiis sa masamang ugali nito kaya niya nataga.","Ayon sa suspek, matagal na umano nilang problema ang anak at hindi na siya nakatiis sa masamang ugali nito kaya niya nataga.",replace_siya,Incorrect
"Sa taping, e, hindi siya talaga maiiwasan ang pagpapa-make-up, kailangan yun, kaya wala siyang maidahilan.","Sa taping, e, hindi niya talaga maiiwasan ang pagpapa-make-up, kailangan yun, kaya wala siyang maidahilan.",replace_niya,Incorrect
Sinamantala rin ni Go ang pagkakataon na ulitin ang kanyang panawagan para sa lahat ng mga karapat-dapat na Pilipino na lumahok sa national vaccination drive upang matiyak na makakamit ng bansa ang proteksyon sa populasyon na humahantong sa herd immunity. Tiniyak din niya na ang gobyerno ay nananatiling nakatuon sa pagkuha ng ligtas at sapat na mga bakuna at panatilihing mas maraming Pilipino ang protektado mula sa COVID-19 at mga variant nito! Kinilala ng senador ang pagsisikap ng mga lokal na opisyal sa pangunguna sa mga pagsisikap sa pagtugon sa pandemya sa kani-kanilang komunidad at sa kanilang walang humpay na dedikasyon sa kanilang mga nasasakupan sa mga mapanghamong panahong ito.,Sinamantala rin ni Go ang pagkakataon na ulitin ang kanyang panawagan para sa lahat ng mga karapat-dapat na Pilipino na lumahok sa national vaccination drive upang matiyak na makakamit ng bansa ang proteksyon sa populasyon na humahantong sa herd immunity. Tiniyak din niya na ang gobyerno ay nananatiling nakatuon sa pagkuha ng ligtas at sapat na mga bakuna at panatilihing mas maraming Pilipino ang protektado mula sa COVID-19 at mga variant nito. Kinilala ng senador ang pagsisikap ng mga lokal na opisyal sa pangunguna sa mga pagsisikap sa pagtugon sa pandemya sa kani-kanilang komunidad at sa kanilang walang humpay na dedikasyon sa kanilang mga nasasakupan sa mga mapanghamong panahong ito.,multiple_change_punc_period,Incorrect
"Kasabay nito, ikinuwento naman ni Pacquiao na mayron siyang dating kaibigan na nagsamantala sa kanyang kabaitan at ginamit pa ang kanyang pangalan para gumawa ng pera kaya nagdesisyon niya na putulin na ang pakikipag-ugnayan dito.","Kasabay nito, ikinuwento naman ni Pacquiao na mayron siyang dating kaibigan na nagsamantala sa kanyang kabaitan at ginamit pa ang kanyang pangalan para gumawa ng pera kaya nagdesisyon siya na putulin na ang pakikipag-ugnayan dito.",replace_siya,Incorrect
"Sa ulat ng ng GMA News ""Unang Balita"" nitong Martes, sinabing bago nito, napagawa na rin nina Dianne at Rodjun ang kanilang bahay at naitayo ang sarili nilang business.","Sa ulat ng GMA News ""Unang Balita"" nitong Martes, sinabing bago nito, napagawa na rin nina Dianne at Rodjun ang kanilang bahay at naitayo ang sarili nilang business.",delete,Incorrect
"Saan ka pa Walang masyadong pondo, pero umaapaw na tulong at gawa, lalo na ngayong pandemya.","Saan ka pa? Walang masyadong pondo, pero umaapaw na tulong at gawa, lalo na ngayong pandemya.",multiple_add_punc_qmark,Incorrect
"Talaga yata KUNG minsan ang dami mong papasukin, at lalagpasan para mabuhay.","Talaga yata kung minsan ang dami mong papasukin, at lalagpasan para mabuhay.",transform_case_lower,Incorrect
"Sa tuwing may ahas sa kanilang lu gar, ang takbuhan ng mga residente ay ang kapitbahay nilang si Rommel Adona.","Sa tuwing may ahas sa kanilang lugar, ang takbuhan ng mga residente ay ang kapitbahay nilang si Rommel Adona.",merge_space,Incorrect
"Ito na ang ikaapat na taong hindi sumipot ang presidente sa pagsariwa ng okasyon, BAGAY na ginanap kanina sa People Power Monument sa Quezon City.","Ito na ang ikaapat na taong hindi sumipot ang presidente sa pagsariwa ng okasyon, bagay na ginanap kanina sa People Power Monument sa Quezon City.",transform_case_lower,Incorrect
"Si Judge Malagar ang nagponente ng desisyon na nagbabasura sa petisyon ng gobyerno na ideklara ang CPP-NPA bilang teroristang grupo, na tinuligsa ni Badoy","Si Judge Malagar ang nagponente ng desisyon na nagbabasura sa petisyon ng gobyerno na ideklara ang CPP-NPA bilang teroristang grupo, na tinuligsa ni Badoy.",add_punc_period,Incorrect
Maaaring sinunod na lang niya ang payo ng mga taong malapit sa kanya na manahimik na lang at huwag nang sagutin ang huling interview ni LJ.,Maaaring sinusunod na lang niya ang payo ng mga taong malapit sa kanya na manahimik na lang at huwag nang sagutin ang huling interview ni LJ.,transform_verb_incobj,Incorrect
"Pangalawa, sasaya po ang inyong magulang kapag nakapagtapos kayo ng pag-aaral, ayon kay Sen.","Pangalawa, sasaya po ang inyong mga magulang kapag nakapagtapos kayo ng pag-aaral, ayon kay Sen.",append_t1,Incorrect
"May reason rin naman ang girl, napakarami nang pinagdaanan ng guy, malikot din naman kasi yun sa aparato!","May reason din naman ang girl, napakarami nang pinagdaanan ng guy, malikot din naman kasi yun sa aparato!",replace_din,Incorrect
PINIGILAN ng NLEX ang kanilang three-game losing skid para itaas ang baraha sa 5-5 habang nalasap ng Blackwater ang ikatlong dikit na kamalasan para sa 5-4 record.,Pinigilan ng NLEX ang kanilang three-game losing skid para itaas ang baraha sa 5-5 habang nalasap ng Blackwater ang ikatlong dikit na kamalasan para sa 5-4 record.,transform_case_capital,Incorrect
"Naabutan ko pa naman siya after siyang dalhin sa private room from the ICU hanggang sa nakapag-say na kami ng goodbyes namin. PATI yung anak ko na nasa Amerika, naka-messenger sa video, kasi graduating e, sa San Francisco. Sa San Francisco State University yung daughter ko.","Naabutan ko pa naman siya after siyang dalhin sa private room from the ICU hanggang sa nakapag-say na kami ng goodbyes namin. Pati yung anak ko na nasa Amerika, naka-messenger sa video, kasi graduating e, sa San Francisco. Sa San Francisco State University yung daughter ko.",multiple_capital,Incorrect
"Nagsampa naman ng kontra demanda si Amber at humingi ng $100 million damages dahil umano sa naranasan niyang ""rampant physical violence and abuse"" sa aktor.--.","Nagsampa naman ng kontra-demanda si Amber at humingi ng $100 million damages dahil umano sa naranasan niyang ""rampant physical violence and abuse"" sa aktor.--.",merge_hyphen,Incorrect
Dumiretso ang Bolts sa kanilang ikatlong sunod na ratsada para sa 8-2 record sa ilalim ng ng 10-1 baraha ng No.,Dumiretso ang Bolts sa kanilang ikatlong sunod na ratsada para sa 8-2 record sa ilalim ng 10-1 baraha ng No.,delete,Incorrect
"Baguio CITY, Philippines — Tatlo katao ang sugatan matapos ang walang habas na pamamaril ng isang jeepney driver na nasawi rin matapos namang mabundol ng sumasakay habang tumatakas sa may Naguillan Road, Brgy.","Baguio CITY, Philippines — Tatlo katao ang sugatan matapos ang walang habas na pamamaril ng isang jeepney driver na nasawi rin matapos namang mabundol ng sasakyan habang tumatakas sa may Naguillan Road, Brgy.",transform_verb_contobj,Incorrect
"Pero ngayong naintindihan na natin itong new variant na ito at mukha namang wala pa tayong community transmission sa new variant ay bubuhay muli ang pag-uusap tungkol sa face-to-face dahil kagaya ng sinabi ni Secretary Briones, parang tayo na lang po ang bansa na wala pang face-to-face sa buong mundo,mahabang paliwanag ni Roque.","Pero ngayong naintindihan na natin itong new variant na ito at mukha namang wala pa tayong community transmission sa new variant ay bubuhayin muli ang pag-uusap tungkol sa face-to-face dahil kagaya ng sinabi ni Secretary Briones, parang tayo na lang po ang bansa na wala pang face-to-face sa buong mundo,mahabang paliwanag ni Roque.",transform_verb_contobj,Incorrect
AYAW ko na. Kasi yung ermats ko tumatanda na rin eh Mas matagal na hindi niya kasama yung erpats ko.,Ayaw ko na. Kasi yung ermats ko tumatanda na rin eh Mas matagal na hindi niya kasama yung erpats ko.,multiple_capital,Incorrect
"Anyway, ang maganda naman, kahit nae-extend ang FPJs Ang Probinsyano, pinapanood pa din naman yon.","Anyway, ang maganda naman, kahit nae-extend ang FPJs Ang Probinsyano, pinapanood pa rin naman yon.",replace_rin,Incorrect
"Bukod sa mga ito, may inaasahan pang 2 milyong doses ng AstraZeneca sa loob ng dumarating na dalawang linggo at mula rin sa COVAX facility.","Bukod sa mga ito, may inaasahan pang 2 milyong doses ng AstraZeneca sa loob ng darating na dalawang linggo at mula rin sa COVAX facility.",transform_verb_contact,Incorrect
"Samantala, ngayong nasa social media na ang announcement ng Miss Universe na gaganapin sa Amerika sa May 16 ng taong ito, mabuting dito na mag-focus si Rabiya, dahil kung hindi niya mapansin sa Miss Universe, hindi ko ma-imagine kung anong panlalait ang aabutin niya.","Samantala, ngayong nasa social media na ang announcement ng Miss Universe na gaganapin sa Amerika sa May 16 ng taong ito, mabuting dito na mag-focus si Rabiya, dahil kung hindi siya mapansin sa Miss Universe, hindi ko ma-imagine kung anong panlalait ang aabutin niya.",replace_siya,Incorrect
"Kailangan managot sila sa batas ng ating bansa bansa at hindi po sa kanilang sariling regulasyon, wika ni AFP spokesperson Edgard Arevalo, sa panayam ng PTV4.","Kailangan managot sila sa batas ng ating bansa at hindi po sa kanilang sariling regulasyon, wika ni AFP spokesperson Edgard Arevalo, sa panayam ng PTV4.",delete,Incorrect
"Sabi nga ni commissioner Willie Marcial kahapon, nakakatanggap niya ng tawag mula sa fans.","Sabi nga ni commissioner Willie Marcial kahapon, nakakatanggap siya ng tawag mula sa fans.",replace_siya,Incorrect
"Kampante rin aniya nila na ang DepEd ay mapapangasiwaan ng mga mahuhusay na indibidwal, sa pangunguna ni Inday Sara, maipagpapatuloy nito ang kanilang mga nasimulang programa sa kagawaran.","Kampante rin aniya sila na ang DepEd ay mapapangasiwaan ng mga mahuhusay na indibidwal, sa pangunguna ni Inday Sara, maipagpapatuloy nito ang kanilang mga nasimulang programa sa kagawaran.",replace_sila,Incorrect
Arestado ang magkasabwat na babae at ilalaki matapos diumano mangbudol sa tapat ng isang mall sa Brgy.,Arestado ang magkasabwat na babae at lalaki matapos diumano mangbudol sa tapat ng isang mall sa Brgy.,transform_verb_contact,Incorrect
"Kabahan ka na Gary Russell matapos ideklara ni undefeated Pinoy fighter Mark Magsayo na nilabas nito ang bagsik ng isang Pinoy boxer sa oras na magkrus ang kanilang landas sa Enero 22 (Enero 23) sa Borgata Hotel Casino and Spa sa Atlantic City, New Jersey.","Kabahan ka na Gary Russell matapos ideklara ni undefeated Pinoy fighter Mark Magsayo na ilalabas nito ang bagsik ng isang Pinoy boxer sa oras na magkrus ang kanilang landas sa Enero 22 (Enero 23) sa Borgata Hotel Casino and Spa sa Atlantic City, New Jersey.",transform_verb_contobj,Incorrect
"Kinalaunan, sumuko ang suspek na kinilalang si Robert E? Crimo III, 22-anyos.","Kinalaunan, sumuko ang suspek na kinilalang si Robert E. Crimo III, 22-anyos.",multiple_change_punc_period,Incorrect
"Imagine mo, talagang nagpadala siya ng mga Valentine gift sa mga ambassador niya at m ga kaibigan sa press.","Imagine mo, talagang nagpadala siya ng mga Valentine gift sa mga ambassador niya at mga kaibigan sa press.",merge_space,Incorrect
"Ayon kay Roniel, hindi siya sumama sa naturang reunion sa katatalon dahil may sipon noon ang bunso nilang anak.","Ayon kay Roniel, hindi siya sumama sa naturang reunion sa talon dahil may sipon noon ang bunso nilang anak.",transform_verb_base,Incorrect
Umaasa si Puyat na sa sumusunod na linggo ay papayagan na mabuksan ang leisure travel ng mga turista mula sa green-list countries.,Umaasa si Puyat na sa susunod na linggo ay papayagan na mabuksan ang leisure travel ng mga turista mula sa green-list countries.,transform_verb_contact,Incorrect
Kung hindi naman talaga nanganak si Julia na si Coco ang ama ay bakit naman natin yun ipagpipilitan.,Kung hindi naman talaga nanganak si Julia na si Coco ang ama ay bakit naman natin yun ipagpipilitan?,change_punc_qmark,Incorrect
"Inaasahan namang pumirma ng Pilipinas ang ""definitive agreement"" para sa 30 milyong doses ng bakuna mula Novavax ngayong araw, ani Roque.","Inaasahan namang pipirmahan ng Pilipinas ang ""definitive agreement"" para sa 30 milyong doses ng bakuna mula Novavax ngayong araw, ani Roque.",transform_verb_contobj,Incorrect
"E, dun dun nga siya nabukelya ng dati niyang gay provider, sumusumpa siyang nag-iisa lang ang beki sa buhay niya, pero namamangka pala siya sa dalawang ilog!","E, dun nga siya nabukelya ng dati niyang gay provider, sumusumpa siyang nag-iisa lang ang beki sa buhay niya, pero namamangka pala siya sa dalawang ilog!",delete,Incorrect
"Dahil sa nangyari, lalong naghihigpit doon sa PNP Custodial Center at sinuspinde muna ang pagdalaw.","Dahil sa nangyari, lalong naghigpit doon sa PNP Custodial Center at sinuspinde muna ang pagdalaw.",transform_verb_compact,Incorrect
Thankful din si Kelvin kay Direk Adolf dahil tinulungan daw talaga nila nito sa mga eksena para mas lalo pang mapaganda.,Thankful din si Kelvin kay Direk Adolf dahil tinulungan daw talaga sila nito sa mga eksena para mas lalo pang mapaganda.,replace_sila,Incorrect
"(Kung mahilig sya sa baril, may baril sa puno","(Kung mahilig sya sa baril, may baril sa puno!",add_punc_emark,Incorrect
"Pero hindi na siya nakakapag-post rito matapos pumanaw ang best friend na si Angelo Fango noong nakaraang taon, na katuwang niya sa paggawa ng vlogs.","Pero hindi na siya nakakapag-post dito matapos pumanaw ang best friend na si Angelo Fango noong nakaraang taon, na katuwang niya sa paggawa ng vlogs.",replace_dito,Incorrect
Apat ang nasawi at 70 iba pa ang sasaktan sa naturang stampede.,Apat ang nasawi at 70 iba pa ang nasaktan sa naturang stampede.,transform_verb_compact,Incorrect
"Ito ang rason kung bakit nais nating bigyan nila ng sapat na suportang legal para maproteksyunan nila ang kanilang sarili basta nasa tama sila at ginagampanan ang kanilang tungkulin na naaayon sa batas, paliwanag ng senador.","Ito ang rason kung bakit nais nating bigyan sila ng sapat na suportang legal para maproteksyunan nila ang kanilang sarili basta nasa tama sila at ginagampanan ang kanilang tungkulin na naaayon sa batas, paliwanag ng senador.",replace_sila,Incorrect
"Tinanghal silang grand winner ng kanyang kapartner na ayon sa isang narinig kong kuwento at nasulat ko na ito sa nauna kong column weeks ago, ang cash prize diumano nila ay 1 million Euro.","Tinanghal silang grand winner ng kanyang ka-partner na ayon sa isang narinig kong kuwento at nasulat ko na ito sa nauna kong column weeks ago, ang cash prize diumano nila ay 1 million Euro.",transform_insert_hyphen,Incorrect
"Hindi n'yo naman sinabi na bingi, balik tanaw niya.","Hindi n'yo naman sinabi na bingi, balik-tanaw niya.",merge_hyphen,Incorrect
"Ayon sa pangulo, kumpiyansa siyang isang matatag na ekonomiya ang hinihintay sa Pilipinas dahil sa bilyon-bilyong dolyar na foreign investments ang naiuwi mula sa mga biyahe nito sa ibang bansa.","Ayon sa pangulo, kumpiyansa siyang isang matatag na ekonomiya ang naghihintay sa Pilipinas dahil sa bilyon-bilyong dolyar na foreign investments ang naiuwi mula sa mga biyahe nito sa ibang bansa.",transform_verb_incact,Incorrect
"Magtutuloy-tuloy ang Kadiwa nang Pasko, kahit pa nga matapos na ang kapaskuhan kung saan makabibili ng murang agricultural products.","Magtutuloy-tuloy ang Kadiwa ng Pasko, kahit pa nga matapos na ang kapaskuhan kung saan makabibili ng murang agricultural products.",replace_ng,Incorrect
"Matapos ang mga nominasyon at magwaging best supporting actress sa Los Angeles Critics Award, mas bumait daw ang ilang tao sa kaniyang paligid","Matapos ang mga nominasyon at magwaging best supporting actress sa Los Angeles Critics Award, mas bumait daw ang ilang tao sa kaniyang paligid.",add_punc_period,Incorrect
Pumunta ng GMA News ang motorista ngunit wala ito sa address na kanyang ibinigay.,Pinuntahan ng GMA News ang motorista ngunit wala ito sa address na kanyang ibinigay.,transform_verb_compobj,Incorrect
"Ayon kay Roque, binabalanse lang ng Pangulo pinagdadaanan ng mga mamamayan sa gitna ng nangyayaring krisis.","Ayon kay Roque, binabalanse lang ng Pangulo ang pinagdadaanan ng mga mamamayan sa gitna ng nangyayaring krisis.",append_t1,Incorrect
"Sa pamamagitan ng video, nakausap ni Lyn na nasa KSA ang kaniyang ina na nasa Pilipinas. Mapatawad kaya niya ang kaniyang nanay batay sa bersiyon ng mga pangyayari na kaniyang nakuha? Buhay pa kaya hanggang ngayon ang kaniyang ama Panoorin ang buong kuwento sa video ng ""KMJS.""--FRJ, GMA Integrated News.","Sa pamamagitan ng video, nakausap ni Lyn na nasa KSA ang kaniyang ina na nasa Pilipinas. Mapatawad kaya niya ang kaniyang nanay batay sa bersiyon ng mga pangyayari na kaniyang nakuha? Buhay pa kaya hanggang ngayon ang kaniyang ama? Panoorin ang buong kuwento sa video ng ""KMJS.""--FRJ, GMA Integrated News.",multiple_add_punc_qmark,Incorrect
"Noong Hunyo, ibinunyag sila na plano nilang gamitin ang ""Zeus"" bilang isa sa pangalan ng kanilang anak, bagamat tinawag nila siyang Kidlat bago pa man siya ipanganak.","Noong Hunyo, ibinunyag nila na plano nilang gamitin ang ""Zeus"" bilang isa sa pangalan ng kanilang anak, bagamat tinawag nila siyang Kidlat bago pa man siya ipanganak.",replace_nila,Incorrect
"Pagkukuwento ng isang dati niyang kasamahan sa nasabing show, Dream niya talagang mag-artista, nabigo lang siya, kaya hanggang nung naging direktor na siya, e, bitbit pa din niya ang ilusyong maging artista siya!","Pagkukuwento ng isang dati niyang kasamahan sa nasabing show, Dream niya talagang mag-artista, nabigo lang siya, kaya hanggang nung naging direktor na siya, e, bitbit pa rin niya ang ilusyong maging artista siya!",replace_rin,Incorrect
Ito ang kinatatakutan nang pamilya ni Vhong sa Taguig City Jail dahil may mga natatanggap daw na mga message ang asawa ni Vhong na si Tanya.,Ito ang kinatatakutan ng pamilya ni Vhong sa Taguig City Jail dahil may mga natatanggap daw na mga message ang asawa ni Vhong na si Tanya.,replace_ng,Incorrect
"Alam naman natin, maraming pagkakataon nagbabago ng isip ang pangulo. Posibleng bilang magulang, may sinseridad yun, saad ni Co, Miyekules?","Alam naman natin, maraming pagkakataon nagbabago ng isip ang pangulo. Posibleng bilang magulang, may sinseridad yun, saad ni Co, Miyekules.",multiple_change_punc_period,Incorrect
"Una rito, sinabi umano ni Rommel na bandang alas-10 ng umaga ng magising siya ay nakitang nakatulog sa bath tub ang biktima kaya kinumutan ito at saka siya bumalik sa pagtulog.","Una rito, sinabi umano ni Rommel na bandang alas-10 ng umaga nang magising siya ay nakitang nakatulog sa bath tub ang biktima kaya kinumutan ito at saka siya bumalik sa pagtulog.",replace_nang,Incorrect
Niwala ang kalihim na sapat na ang tatlong linggo para matukoy kung nakatulong ba ang paghihigpit para mapigilan ang pagkalat ng COVOD-19.,Naniniwala ang kalihim na sapat na ang tatlong linggo para matukoy kung nakatulong ba ang paghihigpit para mapigilan ang pagkalat ng COVOD-19.,transform_verb_incact,Incorrect
"Aabot na sa 3.68 milyon ang tinatamaan ng COVID-19 sa Pilipinas simula pa noong 2020. Sa bilang na yan, pumanaw na ang 60,452","Aabot na sa 3.68 milyon ang tinatamaan ng COVID-19 sa Pilipinas simula pa noong 2020. Sa bilang na yan, pumanaw na ang 60,452.",multiple_add_punc_period,Incorrect
"Sa ating Mabuting Balita (Marcos 6:7-13), tinawag ni Hesus ang kaniyang labindalawang Alagad at-isinugo Niya sila nang dala-dalawa at binigyan ng kapangyarihang magpalayas ng masasamang espiritu bilang bahagi ng kanilang ministeryo.","Sa ating Mabuting Balita (Marcos 6:7-13), tinawag ni Hesus ang kaniyang labindalawang Alagad at isinugo Niya sila nang dala-dalawa at binigyan ng kapangyarihang magpalayas ng masasamang espiritu bilang bahagi ng kanilang ministeryo.",transform_split_hyphen,Incorrect
"May ipinayo din si Mayor Isko, na naging artista rin at bahagi ng Thats Entertainment, sa kaniyang anak.","May ipinayo rin si Mayor Isko, na naging artista rin at bahagi ng Thats Entertainment, sa kaniyang anak.",replace_rin,Incorrect
"Ayon kay Gerrymie, inakala siya noong una na inaatake lang siya ng high blood.","Ayon kay Gerrymie, inakala niya noong una na inaatake lang siya ng high blood.",replace_niya,Incorrect
"MABUTI na lang at nilinaw ng publicist ni Guy na fake news ang lumabas na balitang kritikal ang Superstar. Sabi ni Nora: Sa mga nag-alala sa akin, lalo na ang mga sumusuporta sa akin ay gusto ko lang ipaalala na okay po ako.","Mabuti na lang at nilinaw ng publicist ni Guy na fake news ang lumabas na balitang kritikal ang Superstar. Sabi ni Nora: Sa mga nag-alala sa akin, lalo na ang mga sumusuporta sa akin ay gusto ko lang ipaalala na okay po ako.",multiple_capital,Incorrect
"Sa mga lugar na nakalockdown, naka-deploy ang nasa 687 PNP personnel at 701 701 force multipliers upang matiyak na nasusunod ang health protocols.","Sa mga lugar na nakalockdown, naka-deploy ang nasa 687 PNP personnel at 701 force multipliers upang matiyak na nasusunod ang health protocols.",delete,Incorrect
"Batay bagong Pulse Asia survey, si Pacquiao ay pumang-apat sa nakuhang walong puntos habang panglima naman si Lacson na may dalawang porsiyento.","Batay sa bagong Pulse Asia survey, si Pacquiao ay pumang-apat sa nakuhang walong puntos habang panglima naman si Lacson na may dalawang porsiyento.",append_t1,Incorrect
Ngayon ay back-to-work na si Direk Joel at mag-aayos na ang mga susunod na pelikulang gagawin niya.,Ngayon ay back-to-work na si Direk Joel at inaayos na ang mga susunod na pelikulang gagawin niya.,transform_verb_incobj,Incorrect
Marami ang nakaka-relate sa bagong TV commercial nang Tanduay.,Marami ang nakaka-relate sa bagong TV commercial ng Tanduay.,replace_ng,Incorrect
"Noong nagCebu kami last weekend para sa presscon ng The Iron Heart, ang action-drama series na pinagbibidahan ni Richard Gutierrez sa ABS-CBN, marami na naman kaming mga “eksena” ni Bisaya.","Noong nag-Cebu kami last weekend para sa presscon ng The Iron Heart, ang action-drama series na pinagbibidahan ni Richard Gutierrez sa ABS-CBN, marami na naman kaming mga “eksena” ni Bisaya.",transform_insert_hyphen,Incorrect
Matagal na diumanong tinatarget ng nasabing socialite / influencer ang position ni Sec. BERNA kaya abanger ito ngayon.,Matagal na diumanong tinatarget ng nasabing socialite / influencer ang position ni Sec. Berna kaya abanger ito ngayon.,multiple_capital,Incorrect
"Kahit na nagalit si Duterte kagabi kay Fernandez, matatandaang pinatatahimik siya ang mga miyembro ng Presidential Communications Group (PSG) matapos nilang iligal na magturok ng Sinopharm COVID-19 sa sarili noong 2020 kahit na wala pa itong emergency use authority (EUA) mula sa Food and Drug Administration.","Kahit na nagalit si Duterte kagabi kay Fernandez, matatandaang pinatatahimik niya ang mga miyembro ng Presidential Communications Group (PSG) matapos nilang iligal na magturok ng Sinopharm COVID-19 sa sarili noong 2020 kahit na wala pa itong emergency use authority (EUA) mula sa Food and Drug Administration.",replace_niya,Incorrect
"Ayon kay Elezar, inatasan na siya ang regional director ng PRO 4A CALABARZON at ang inspector general ng PNP IAS na magsagawa ng malalimang pagsisiyasat.","Ayon kay Elezar, inatasan na niya ang regional director ng PRO 4A CALABARZON at ang inspector general ng PNP IAS na magsagawa ng malalimang pagsisiyasat.",replace_niya,Incorrect
Wala pang eksaktong petsa kung kailan itinuloy ang qualifying event ngunit posible itong ganapin sa Mayo o sa Hunyo bago ang Tokyo Olympics sa Hulyo.,Wala pang eksaktong petsa kung kailan itutuloy ang qualifying event ngunit posible itong ganapin sa Mayo o sa Hunyo bago ang Tokyo Olympics sa Hulyo.,transform_verb_contobj,Incorrect
