Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
"Kaugnay nito, hinikayat din naman ni Iral ang mga PDLs na magparehistro upang makaboto sa araw ng halalan.","Kaugnay nito, hinikayat din naman ni Iral ang mga PDLs na magparehistro upang makaboto sa araw ng halalan.","Kaugnay nito, hinikayat din naman ni Iral ang mga dis na magparehistro upang makaboto sa araw ng halalan.",['PDLs'],"{'PDLs': ['ads', 'als', 'dis', 'dos', 'idle']}"
"Humihingi ng paumanhin ang pamilya nina Dela Vega sa mga nagkasakit, at sinabing hindi nila ginusto ang nangyari.","Humihingi ng paumanhin ang pamilya nina Dela Vega sa mga nagkasakit, at sinabing hindi nila ginusto ang nangyari.","Humihingi ng paumanhin ang pamilya nina Dela vera sa mga nagkasakit, at sinabing hindi nila ginusto ang nangyari.",['Vega'],"{'Vega': ['mega', 'nega', 'vera', 'aga', 'amga']}"
"Kuwento ni Lovi, may nagta-tag sa kaniyang netizen sa Instagram na pinatay nito ang TV nang mag-iba na ang kasama ng kaniyang karakter na si Sensen at hindi na si Doc Migs, karakter ni Benjamin.","Kuwento ni Lovi, may nagta-tag sa kaniyang netizen sa Instagram na pinatay nito ang TV nang mag-iba na ang kasama ng kaniyang karakter na si Sensen at hindi na si Doc Migs, karakter ni Benjamin.","Kuwento ni boli, may nagta-tag sa kaniyang netizen sa Instagram na pinatay nito ang TV nang mag-iba na ang kasama ng kaniyang karakter na si genset at hindi na si docu migz, karakter ni banasin.","['Lovi', 'Sensen', 'Doc', 'Migs', 'Benjamin']","{'Lovi': ['love', 'lodi', 'boli', 'coli', 'cove'], 'Sensen': ['sense', 'senseng', 'genset', 'lenses', 'sansan'], 'Doc': ['do', 'dock', 'docu', 'dog', 'doh'], 'Migs': ['mags', 'miga', 'migz', 'miss', 'pigs'], 'Benjamin': ['balamin', 'banalin', 'banasin', 'banatin', 'bangalin']}"
"Batay sa huling census ng Philippine Statistics Authority (PSA),umaabot na sa 34.8.","Batay sa huling census ng Philippine Statistics Authority (PSA),umaabot na sa 34.8.","Batay sa huling census ng Philippine Statistics Authority (PSA),umaabot na sa ag.d.","['34', '8']","{'34': ['ab', 'ad', 'ag', 'ah', 'ak'], '8': ['b', 'c', 'd', 'e', 'f']}"
May mga fans kasi ang binatang ama na nagsasabing susuportahan nila ang anak ng dating Presidente na si Joseph Estrada sakaling tumakbo ito next year sa anumang posisyon.,May mga fans kasi ang binatang ama na nagsasabing susuportahan nila ang anak ng dating Presidente na si Joseph Estrada sakaling tumakbo ito next year sa anumang posisyon.,May mga fans kasi ang binatang ama na nagsasabing susuportahan nila ang anak ng dating Presidente na si dose Estrada sakaling tumakbo ito next year sa anumang posisyon.,['Joseph'],"{'Joseph': ['boses', 'docph', 'dose', 'dosena', 'doseng']}"
"Sabi ng Bermaz, nire-recall ang mga sasakyan para mapalitan ang mga piyesa nang libre at walang sisingilin sa may-ari.","Sabi ng Bermaz, nire-recall ang mga sasakyan para mapalitan ang mga piyesa nang libre at walang sisingilin sa may-ari.","Sabi ng bersa, nire-recall ang mga sasakyan para mapalitan ang mga piyesa nang libre at walang sisingilin sa may-ari.",['Bermaz'],"{'Bermaz': ['berbal', 'berhas', 'bersa', 'derma', 'aarmas']}"
"Nangako rin sila ng suporta sa 15,000 freelance artists at cultural workers na isusulong nito ang kanilang kalagayan at kapakanan sa Kongreso.","Nangako rin sila ng suporta sa 15,000 freelance artists at cultural workers na isusulong nito ang kanilang kalagayan at kapakanan sa Kongreso.","Nangako rin sila ng suporta sa ag,aam freelance artists at cultural workers na isusulong nito ang kanilang kalagayan at kapakanan sa Kongreso.","['15', '000']","{'15': ['ab', 'ad', 'ag', 'ah', 'ak'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
Nananatiling nag-iisa pa lang ang kaso ng tinamaan ng ligaw na bala nitong Bagong Taon habang wala pa ring naiuulat na fireworks ingestion sa kabutihang palad.,Nananatiling nag-iisa pa lang ang kaso ng tinamaan ng ligaw na bala nitong Bagong Taon habang wala pa ring naiuulat na fireworks ingestion sa kabutihang palad.,Nananatiling nag-iisa pa lang ang kaso ng tinamaan ng ligaw na bala nitong Bagong Taon habang wala pa ring naiuulat na fireworks ingestion sa kabutihang palad.,[],{}
Simula bukas ng gabi ay ipapatupad na ang uniform curfew na napagkasunduan ng Metro Manila mayors para maagapan ang tuluyang pag-alagwa ng bilang ng nagkaka-COVID sa rehiyon.,Simula bukas ng gabi ay ipapatupad na ang uniform curfew na napagkasunduan ng Metro Manila mayors para maagapan ang tuluyang pag-alagwa ng bilang ng nagkaka-COVID sa rehiyon.,Simula bukas ng gabi ay ipapatupad na ang uniform curfew na napagkasunduan ng Metro Manila mayors para maagapan ang tuluyang pag-aalaga ng bilang ng nagkaka-COVID sa rehiyon.,['alagwa'],"{'alagwa': ['alaga', 'aagwat', 'aalaga', 'aawa', 'agwa']}"
"Lalo na po ngayon na tumataas na naman nang tumataas ang COVID-19 cases, ayon kay Arra San Agutin.","Lalo na po ngayon na tumataas na naman nang tumataas ang COVID-19 cases, ayon kay Arra San Agutin.","Lalo na po ngayon na tumataas na naman nang tumataas ang COVID-ag cases, ayon kay arira San anutin.","['19', 'Arra', 'Agutin']","{'19': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Arra': ['area', 'aria', 'arira', 'arka', 'arpa'], 'Agutin': ['abutin', 'amutin', 'anutin', 'bagutin', 'lagutin']}"
Itinanggi ni Estolas na nakatulog ang kaniyang driver habang nagmamaneho.,Itinanggi ni Estolas na nakatulog ang kaniyang driver habang nagmamaneho.,Itinanggi ni estela na nakatulog ang kaniyang driver habang nagmamaneho.,['Estolas'],"{'Estolas': ['estola', 'eskolar', 'estela', 'estolang', 'atlas']}"
Ipinakita rin ang nag-viral na larawan sa social media na itinatapon ang napakaraming patatas na sakay sa jeepney.,Ipinakita rin ang nag-viral na larawan sa social media na itinatapon ang napakaraming patatas na sakay sa jeepney.,Ipinakita rin ang nag-viral na larawan sa social media na itinatapon ang napakaraming patatas na sakay sa jeepney.,[],{}
"Patuloy na nagbibigay-pugay ang Sagip Pelikula Festival sa karera ni Maricel sa pagpapalabas pa ng iba pang mga pelikula niya na digitally restored tulad ng Mila, Ikaw Pa Lang ang Minahal, John & Marsha 85 sa Probinsya, Separada, Minsan Lang Kita Iibigin, at Inagaw Mo ang Lahat sa Akin na nag-start din kagabi sa KTX.","Patuloy na nagbibigay-pugay ang Sagip Pelikula Festival sa karera ni Maricel sa pagpapalabas pa ng iba pang mga pelikula niya na digitally restored tulad ng Mila, Ikaw Pa Lang ang Minahal, John & Marsha 85 sa Probinsya, Separada, Minsan Lang Kita Iibigin, at Inagaw Mo ang Lahat sa Akin na nag-start din kagabi sa KTX.","Patuloy na nagbibigay-pugay ang Sagip Pelikula Festival sa karera ni marines sa pagpapalabas pa ng iba pang mga pelikula niya na digitally restored tulad ng hila, Ikaw Pa Lang ang Minahal, John & garsa ag sa Probinsya, parada, Minsan Lang Kita Iibigin, at Inagaw Mo ang Lahat sa Akin na nag-start din kagabi sa at.","['Maricel', 'Mila', 'Marsha', '85', 'Separada', 'KTX']","{'Maricel': ['maribel', 'marine', 'marines', 'marital', 'marites'], 'Mila': ['bila', 'dila', 'hila', 'ila', 'lila'], 'Marsha': ['marshal', 'baraha', 'garsa', 'madeha', 'magha'], '85': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Separada': ['iparada', 'paparada', 'parada', 'separate', 'empanada'], 'KTX': ['akta', 'akto', 'at', 'ata', 'ate']}"
"Nang araw rin iyon, may nakita naman siyang P2,000 cash na naiwan sa bulsa ng labahan.","Nang araw rin iyon, may nakita naman siyang P2,000 cash na naiwan sa bulsa ng labahan.","Nang araw din iyon, may nakita naman siyang p3,aam cash na naiwan sa bulsa ng labahan.","['P2', '000']","{'P2': ['p', 'p25', 'p3', 'pa', 'pg'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
"Ang sa akin, hindi naman ako nagyayabang kasi ang lahat ng kumakain sa akin, sinasabi ko kakaiba ang lasa ng lugaw ko,"" sabi ng may-ari ng ""Eddie-Wow Lugaw!""","Ang sa akin, hindi naman ako nagyayabang kasi ang lahat ng kumakain sa akin, sinasabi ko kakaiba ang lasa ng lugaw ko,"" sabi ng may-ari ng ""Eddie-Wow Lugaw!""","Ang sa akin, hindi naman ako nagyayabang kasi ang lahat ng kumakain sa akin, sinasabi ko kakaiba ang lasa ng lugaw ko,"" sabi ng may-ari ng ""Eddie-Wow Lugaw!""",[],{}
"Laguna, Philippines — Bulagta ang isang drug suspect habang sugatan ang isang pulis at dalawa pa ang naaresto matapos na mauwi sa engkuwentro ang isinagawang buy-bust operation ng mga awtoridad sa San Pedro City kahapon.","Laguna, Philippines — Bulagta ang isang drug suspect habang sugatan ang isang pulis at dalawa pa ang naaresto matapos na mauwi sa engkuwentro ang isinagawang buy-bust operation ng mga awtoridad sa San Pedro City kahapon.","Laguna, Philippines — Bulagta ang isang drug suspect habang sugatan ang isang pulis at dalawa pa ang naaresto matapos na mauwi sa engkuwentro ang isinagawang buy-bust operation ng mga awtoridad sa San dero City kahapon.",['Pedro'],"{'Pedro': ['pero', 'dedo', 'dero', 'euro', 'hero']}"
"Naideklarang fire under control ang sunog, na umabot lamang ng unang alarma, dakong alas-3:35 ng madaling araw.","Naideklarang fire under control ang sunog, na umabot lamang ng unang alarma, dakong alas-3:35 ng madaling araw.","Naideklarang fire under control ang sunog, na umabot lamang ng unang alarma, dakong alas-d:ag ng maraling araw.","['3', '35']","{'3': ['b', 'c', 'd', 'e', 'f'], '35': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Katunayan, ini-release ni Saviour ang kaniyang pinakabagong single na ""Ibang Iba"" ngayong 2022.","Katunayan, ini-release ni Saviour ang kaniyang pinakabagong single na ""Ibang Iba"" ngayong 2022.","Katunayan, ini-release ni sailor ang kaniyang pinakabagong single na ""Ibang Iba"" ngayong aag.","['Saviour', '2022']","{'Saviour': ['favor', 'obvious', 'sailor', 'saving', 'savings'], '2022': ['p25', 'aaba', 'aag', 'aako', 'aal']}"
"Batay sa ulat, alas-7:30 ng umaga nang bumulusok paibaba ang trak na minamaneho ni Bonzato, kayat nawalan umano ng kontrol sa manibela at sinalpok ang dalawang traysikel at pagkatapos ay ang isang bahay kung saan tumapon ang lamang gasolina.","Batay sa ulat, alas-7:30 ng umaga nang bumulusok paibaba ang trak na minamaneho ni Bonzato, kayat nawalan umano ng kontrol sa manibela at sinalpok ang dalawang traysikel at pagkatapos ay ang isang bahay kung saan tumapon ang lamang gasolina.","Batay sa ulat, alas-d:ag ng umaga nang bumulusok paibaba ang trak na minamaneho ni abonado, kayat nawalan umano ng kontrol sa manibela at sinalpok ang dalawang traysikel at pagkatapos ay ang isang bahay kung saan tumapon ang lamang gasolina.","['7', '30', 'Bonzato']","{'7': ['b', 'c', 'd', 'e', 'f'], '30': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Bonzato': ['binato', 'bonito', 'abonado', 'babato', 'balato']}"
"Cavite, Philippines — Nalambat ng pulisya ang dalawang hinihinalang bigtime drug pusher na nasa high value target (HVT) list sa lalawigang ito matapos mahulog sa ikinasang anti-drug operation kamakalawa sa Brgy.","Cavite, Philippines — Nalambat ng pulisya ang dalawang hinihinalang bigtime drug pusher na nasa high value target (HVT) list sa lalawigang ito matapos mahulog sa ikinasang anti-drug operation kamakalawa sa Brgy.","Cavite, Philippines — Nalambat ng pulisya ang dalawang hinihinalang bigtime drug pusher na nasa high value target (hot) list sa lalawigang ito matapos mahulog sa ikinasang anti-drug operation kamakalawa sa Brgy.",['HVT'],"{'HVT': ['hat', 'hit', 'hot', 'hut', 'aat']}"
Magagamit ba iyon para makapag-produce ng isang magandang pelikula na magiging box office hit na siya niyang kailangan ngayon bilang superstar?,Magagamit ba iyon para makapag-produce ng isang magandang pelikula na magiging box office hit na siya niyang kailangan ngayon bilang superstar?,Magagamit ba iyon para makapag-produce ng isang magandang pelikula na magiging box office hit na siya niyang kailangan ngayon bilang superyor?,['superstar'],"{'superstar': ['superior', 'supermax', 'superyor', 'suporta', 'suporter']}"
Kung mayroong hindi pagkakaintindihan ay agad naman daw itong naaayos ng mag-asawa bago matulog sa gabi.,Kung mayroong hindi pagkakaintindihan ay agad naman daw itong naaayos ng mag-asawa bago matulog sa gabi.,Kung mayroong hindi pagkakaintindihan ay agad naman daw itong naaayos ng mag-asawa bago matulog sa gabi.,[],{}
Inamin ng Department of Health (DOH) na may mga ‘fully vaccinated’ na Pilipino ang nahawa pa rin ng COVID-19 na tinatawag nila ngayong ‘breakthrough infections’.,Inamin ng Department of Health (DOH) na may mga ‘fully vaccinated’ na Pilipino ang nahawa pa rin ng COVID-19 na tinatawag nila ngayong ‘breakthrough infections’.,Inamin ng Department of Health (DOH) na may mga ‘fully vaccinated’ na Pilipino ang nahawa pa rin ng COVID-ag na tinatawag nila ngayong ‘breakthrough infections’.,['19'],"{'19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Sinabi ni Aurea na kahit hirap sa buhay, hindi siya nawawalan ng pag-asa na matupad ang kaniyang pangarapJamil Santos/KBK, GMA News.","Sinabi ni Aurea na kahit hirap sa buhay, hindi siya nawawalan ng pag-asa na matupad ang kaniyang pangarapJamil Santos/KBK, GMA News.","Sinabi ni kurea na kahit hirap sa buhay, hindi siya nawawalan ng pag-asa na matupad ang kaniyang pangaral tantos/abf, gia News.","['Aurea', 'pangarapJamil', 'Santos', 'KBK', 'GMA']","{'Aurea': ['area', 'aura', 'kurea', 'urea', 'acres'], 'pangarapJamil': ['pangarapin', 'pagaralgalin', 'pangaral', 'pangaralan', 'pangaralang'], 'Santos': ['santo', 'santol', 'tantos', 'aantok', 'aantot'], 'KBK': ['ab', 'aba', 'abf', 'abo', 'abok'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra']}"
Ang pagkilala ay ipinagkaloob kaalinsabay ng paggunita sa National Disaster Resilience Month.,Ang pagkilala ay ipinagkaloob kaalinsabay ng paggunita sa National Disaster Resilience Month.,Ang pagkilala ay ipinagkaloob kaalinsabay ng paggunita sa National Disaster Resilience Month.,[],{}
"Sa ulat ni Ivy Hernando sa GMA Regional TV ""Balitang Amianan"" nitong Martes, sinabing nangyari ang insidente nang dumikit sa live wire ang itinatayo nilang poste sa Barangay Pantoc.","Sa ulat ni Ivy Hernando sa GMA Regional TV ""Balitang Amianan"" nitong Martes, sinabing nangyari ang insidente nang dumikit sa live wire ang itinatayo nilang poste sa Barangay Pantoc.","Sa ulat ni any hinanda sa gia Regional TV ""Balitang ambaan"" nitong Martes, sinabing nangyari ang insidente nang dumikit sa live wire ang itinatayo nilang poste sa Barangay pantot.","['Ivy', 'Hernando', 'GMA', 'Amianan', 'Pantoc']","{'Ivy': ['iva', 'ive', 'any', 'ay', 'bay'], 'Hernando': ['heranyo', 'beranda', 'hinanda', 'hinango', 'hurado'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra'], 'Amianan': ['alwanan', 'amahan', 'ambaan', 'ambagan', 'amihan'], 'Pantoc': ['pantog', 'pantok', 'pantot', 'aantok', 'aantot']}"
"Hindi ko akalain napaka-grateful pala niyang tao, very loving.","Hindi ko akalain napaka-grateful pala niyang tao, very loving.","Hindi ko akalain napaka-grateful pala niyang tao, very roving.",['loving'],"{'loving': ['living', 'moving', 'roving', 'boling', 'boring']}"
"Dito, nakita na niyang lumiliyab ang kanilang bahay kaya dali-dali siyang bumangon at binuhat palabas ng bahay ang isa pa niyang kapatid.","Dito, nakita na niyang lumiliyab ang kanilang bahay kaya dali-dali siyang bumangon at binuhat palabas ng bahay ang isa pa niyang kapatid.","Dito, nakita na niyang lumilibak ang kanilang bahay kaya dali-dali siyang bumangon at binuhat palabas ng bahay ang isa pa niyang kapatid.",['lumiliyab'],"{'lumiliyab': ['lumiliyad', 'lumiliyag', 'lumilibak', 'lumiliban', 'lumiligaw']}"
Bilyon para sa renta pa lang nito.,Bilyon para sa renta pa lang nito.,Bilyon para sa renta pa lang nito.,[],{}
Rodante Marcoleta ang 34 entities na pag-aari ng Kalihim bago ito naitalaga sa DENR.,Rodante Marcoleta ang 34 entities na pag-aari ng Kalihim bago ito naitalaga sa DENR.,botante maleta ang ag entities na pag-aari ng Kalihim bago ito naitalaga sa den.,"['Rodante', 'Marcoleta', '34', 'DENR']","{'Rodante': ['andante', 'bolante', 'botante', 'dante', 'rodang'], 'Marcoleta': ['magkolekta', 'makolekta', 'maleta', 'mangolekta', 'maralita'], '34': ['ab', 'ad', 'ag', 'ah', 'ak'], 'DENR': ['dear', 'deer', 'den', 'deng', 'dens']}"
"Ang nadiskubre raw kasi ng direktor, hirap na hirap itong umarte.","Ang nadiskubre raw kasi ng direktor, hirap na hirap itong umarte.","Ang nadeskubre raw kasi ng direktor, hirap na hirap itong umarte.",['nariskubre'],"{'nariskubre': ['nadiskubre', 'madiskubre', 'nadeskubre', 'nadikubre', 'nadiskubri']}"
"Pangalawang birthday celebration na si Vic Sotto na naka-quarantine kaya wala silang party, at kahit nga simpleng lunch o dinner kasama ang mga anak ay hindi na nila nagawa.","Pangalawang birthday celebration na si Vic Sotto na naka-quarantine kaya wala silang party, at kahit nga simpleng lunch o dinner kasama ang mga anak ay hindi na nila nagawa.","Pangalawang birthday celebration na si pic boto na naka-quarantine kaya wala silang party, at kahit nga simpleng lunch o dinner kasama ang mga anak ay hindi na nila nagawa.","['Vic', 'Sotto']","{'Vic': ['fic', 'mic', 'pic', 'tic', 'vi'], 'Sotto': ['lotto', 'motto', 'boto', 'bottom', 'ditto']}"
Ayon sa aktres ay talagang nakaramdam siya ng pressure na tapusin ang pag-aaral dahil sa nag-iisang anak.,Ayon sa aktres ay talagang nakaramdam siya ng pressure na tapusin ang pag-aaral dahil sa nag-iisang anak.,Ayon sa aktres ay talagang nakaramdam siya ng pressure na tapusin ang pag-aaral dahil sa nag-iisang anak.,[],{}
Hindi sukat akalain ng isang lalaking kawani sa planta ng isang malaking kompanya na ang pag-sideline niya bilang habal-habal driver ang maging dahilan ng kanyang kamatayan matapos pagbabarilin ng tatlong hindi pa kilalang suspek sa Cagayan de Oro City.,Hindi sukat akalain ng isang lalaking kawani sa planta ng isang malaking kompanya na ang pag-sideline niya bilang habal-habal driver ang maging dahilan ng kanyang kamatayan matapos pagbabarilin ng tatlong hindi pa kilalang suspek sa Cagayan de Oro City.,Hindi sukat akalain ng isang lalaking kawani sa planta ng isang malaking kompanya na ang pag-sideline niya bilang habal-habal driver ang maging dahilan ng kanyang kamatayan matapos pagbabarilin ng tatlong hindi pa kilalang suspek sa Cagayan de Oro City.,[],{}
Ibibigay namin ang espasyo sa panghihingi ng panalangin para sa pamilya ng OPM singer na si Richard Reynoso.,Ibibigay namin ang espasyo sa panghihingi ng panalangin para sa pamilya ng OPM singer na si Richard Reynoso.,Ibibigay namin ang espasyo sa panghihingi ng panalangin para sa pamilya ng ope singer na si Richard endoso.,"['OPM', 'Reynoso']","{'OPM': ['ohm', 'op', 'ope', 'ops', 'pm'], 'Reynoso': ['reyno', 'reynong', 'endoso', 'enose', 'esposo']}"
Ang daming puwedeng gawin.,Ang daming puwedeng gawin.,Ang daming puwedeng gawin.,[],{}
Siya lang din daw ang nag-style at gumawa sa kanyang hair at make-up.,Siya lang din daw ang nag-style at gumawa sa kanyang hair at make-up.,Siya lang din daw ang nag-style at gumawa sa kanyang hair at make-up.,[],{}
"Hinihingi rin namin ang pakikiisa ng publiko sa pag-iingat at pagsunod sa mga batas-trapiko para sa biyaheng ayos ngayong taon,dagdag niTugade.","Hinihingi rin namin ang pakikiisa ng publiko sa pag-iingat at pagsunod sa mga batas-trapiko para sa biyaheng ayos ngayong taon,dagdag niTugade.","Hinihingi rin namin ang pakikiisa ng publiko sa pag-iingat at pagsunod sa mga batas-trapiko para sa biyaheng ayos ngayong taon,dagdag itulad.",['niTugade'],"{'niTugade': ['ituga', 'itugang', 'itulad', 'ituwad', 'mitigate']}"
Nagpapasalamat si Joong Ki sa kaniyang fans na nagpapahalaga sa kaniya anuman ang mangyari.,Nagpapasalamat si Joong Ki sa kaniyang fans na nagpapahalaga sa kaniya anuman ang mangyari.,Nagpapasalamat si roong fi sa kaniyang fans na nagpapahalaga sa kaniya anuman ang mangyari.,"['Joong', 'Ki']","{'Joong': ['doong', 'noong', 'roong', 'soong', 'abong'], 'Ki': ['bi', 'di', 'fi', 'hi', 'i']}"
Inaalam na ng Las Piñas Police ang pagkakakilanlan ng mga suspek.,Inaalam na ng Las Piñas Police ang pagkakakilanlan ng mga suspek.,Inaalam na ng gas pitas Police ang pagkakakilanlan ng mga suspek.,"['Las', 'Piñas']","{'Las': ['alas', 'as', 'gas', 'has', 'kas'], 'Piñas': ['pilas', 'pinas', 'pitas', 'piyas', 'bias']}"
"Apart from being competent and qualified, of course yung sinasabi ko kahapon pa ay yung may pagmamahal sa bansa, yung kinikilala ang watawat ng Republika ng Pilipinas, yung rumerespeto sa Saligang Batas at hindi mananawagan ng pagpapabagsak ng gobyerno, ani Rodriguez.","Apart from being competent and qualified, of course yung sinasabi ko kahapon pa ay yung may pagmamahal sa bansa, yung kinikilala ang watawat ng Republika ng Pilipinas, yung rumerespeto sa Saligang Batas at hindi mananawagan ng pagpapabagsak ng gobyerno, ani Rodriguez.","Apart from being competent and qualified, of course yung sinasabi ko kahapon pa ay yung may pagmamahal sa bansa, yung kinikilala ang watawat ng Republika ng Pilipinas, yung rumerespeto sa Saligang Batas at hindi mananawagan ng pagpapabagsak ng gobyerno, ani Rodriguez.",[],{}
