Original Sentence,Gold Sentence
Halos kasabay ito ng isa ring bill na kung saan siya din ang nag-co-author kina Cong.,Halos kasabay ito ng isa ring bill na kung saan siya rin ang nag-co-author kina Cong.
Kadadalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon.,Dumalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon.
Iilan-lang silang nandun sa ituktok.,Iilan lang silang nandun sa ituktok.
"Ayon sa kapatid ng isa sa tatlong dalagitang naglalakad, bibili lang daw ng yelo ang mga ito nang tamaan sila ng ng van.","Ayon sa kapatid ng isa sa tatlong dalagitang naglalakad, bibili lang daw ng yelo ang mga ito nang tamaan sila ng van."
"Gumagawa ng guidelines ngayon ang DOH kung paano yong interchangeability o mixing ng vaccines in case the second dose cannot be given na identical roon sa first dose, ayon kay Domingo.","Gumagawa ng guidelines ngayon ang DOH kung paano yong interchangeability o mixing ng vaccines in case the second dose cannot be given na identical doon sa first dose, ayon kay Domingo."
Kumolekta din ang national team ng anim na silver at siyam na bronze medals sa 2019 biennial meet na idinaos sa bansa.,Kumolekta rin ang national team ng anim na silver at siyam na bronze medals sa 2019 biennial meet na idinaos sa bansa.
Nadagdagan pa sa 20 barangay sa kabuuang binibilang na 33 ang inilagay sa lockdown ng Pasay City government dahil sa mataas na kaso ng COVID.,Nadagdagan pa sa 20 barangay sa kabuuang bilang na 33 ang inilagay sa lockdown ng Pasay City government dahil sa mataas na kaso ng COVID.
Medyo malat pa ang boses niya dahil nagpapagaling pa siya sa COVID 19 kasama ang asawa niyang si si Atty.,Medyo malat pa ang boses niya dahil nagpapagaling pa siya sa COVID 19 kasama ang asawa niyang si Atty.
Magpapatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG.,Nagpatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG.
"Sa isang pahayag, sinabi ng DBM na tinatapos na nito ang plano para sa tinatawag nitong É??rightsizingÉ?? ng pamahalaan at nakatakdang isumite ito sa Kongreso bago magState of the Nation Address si Pangulong Ferdinand Marcos Jr.","Sa isang pahayag, sinabi ng DBM na tinatapos na nito ang plano para sa tinatawag nitong É??rightsizingÉ?? ng pamahalaan at nakatakdang isumite ito sa Kongreso bago mag-State of the Nation Address si Pangulong Ferdinand Marcos Jr."
Maaari pa anilang magbago ang naturang bilang ng mga kaso sa lungsod-dahil na rin sa isinasagawang community-based testing.,Maaari pa anilang magbago ang naturang bilang ng mga kaso sa lungsod dahil na rin sa isinasagawang community-based testing.
Ikinagalak ni Senator Christopher É??BongÉ?ù Go ang pagsisikap ng Food and Drug Administration (FDA) na gawing ko mersyal ang mga bakuna laban sa COVID-19 sa bansa.,Ikinagalak ni Senator Christopher É??BongÉ?ù Go ang pagsisikap ng Food and Drug Administration (FDA) na gawing komersyal ang mga bakuna laban sa COVID-19 sa bansa.
"Funny nga dahil 'yung time na 'yun na nagkaroon kami ng first gathering with everyone sa cast, nasa isang restaurant kami, usually ang restaurant magkakatabi kayo, tapos kumakain kayo-sa isang table.","Funny nga dahil 'yung time na 'yun na nagkaroon kami ng first gathering with everyone sa cast, nasa isang restaurant kami, usually ang restaurant magkakatabi kayo, tapos kumakain kayo sa isang table."
Ngayong October 21 ay bibisita si Pangulong Rodrigo Duterte sa Region 4-A (CALABARZON) upang personal na tignan ang resulta nang BDP itinuturing na flagship project ng pamahalang Duterte.,Ngayong October 21 ay bibisita si Pangulong Rodrigo Duterte sa Region 4-A (CALABARZON) upang personal na tignan ang resulta ng BDP itinuturing na flagship project ng pamahalang Duterte.
"Nagsasabi pa ng aktres na ""smart decision"" ang pagtanggap niya sa mapangahas na role bilang night club dancer sa ""Burlesque Queen,"" mula sa kaniyang sweet image.","Sinabi pa ng aktres na ""smart decision"" ang pagtanggap niya sa mapangahas na role bilang night club dancer sa ""Burlesque Queen,"" mula sa kaniyang sweet image."
"Ang nagutos sa amin na palitan É??yun ay si MaÉ??am Krizle Grace Mago, ayon sa empleyado.","Ang nag-utos sa amin na palitan É??yun ay si MaÉ??am Krizle Grace Mago, ayon sa empleyado."
Dadalhin rin nina KZ Tandingan at Yeng Constantino ang live musical experience sa mga tahanan sa kani-kanilang digital concerts.,Dadalhin din nina KZ Tandingan at Yeng Constantino ang live musical experience sa mga tahanan sa kani-kanilang digital concerts.
"Batangas, Philippines É??Inaresto ng mga tauhan tauhan ng Calaca Municipal Police Station ang walong katao nasangkot sa pangangalakal ng mga pilfered petroleum products sa Barangay Salong, Calaca City nitong Lunes ng umaga.","Batangas, Philippines É??Inaresto ng mga tauhan ng Calaca Municipal Police Station ang walong katao nasangkot sa pangangalakal ng mga pilfered petroleum products sa Barangay Salong, Calaca City nitong Lunes ng umaga."
"Ok daw, pero mas bongga raw kung lalantad siyang preggy na or kung sinabi niyang magpapakasal na sila ni Gerald Anderson.","Ok daw, pero mas bongga raw kung lalantad siyang preggy na or kung sasabihin niyang magpapakasal na sila ni Gerald Anderson."
Hanggang ngayon siya yung sumasama sa amin sa sa ocular sa kasal.,Hanggang ngayon siya yung sumasama sa amin sa ocular sa kasal.
"Sabi nga nila itÉ??s not the destination, its the journey kumbaga kahit na gaano pa kahirap yung pinagdaanan mo kung hindi mo nanamnamin yun, parang wala din yung pagkanakarating ka sa dulo.","Sabi nga nila itÉ??s not the destination, its the journey kumbaga kahit na gaano pa kahirap yung pinagdaanan mo kung hindi mo nanamnamin yun, parang wala rin yung pagkanakarating ka sa dulo."
"So ngayon, Tito Boy, mag-iisang taon-mahigit na rin po kami.","So ngayon, Tito Boy, mag-iisang taon mahigit na rin po kami."
"Inihayag din ni Joey na asahan na mas malawak pa ang pagbabagong hinahanap sa ""Eat Bulaga,"" na hindi lang sa mga kontes kung hindi maging sa pagtulong at pagsusulong ng pagasa.","Inihayag din ni Joey na asahan na mas malawak pa ang pagbabagong hinahanap sa ""Eat Bulaga,"" na hindi lang sa mga kontes kung hindi maging sa pagtulong at pagsusulong ng pag-asa."
"Napapag usapan na ang pagkakaroon daw ng book two nito, na magiging First Lady na ang title, dahil asawa na siya ng pangulo ng bansa na si Pres. Glen Acosta.","Napapag-usapan na ang pagkakaroon daw ng book two nito, na magiging First Lady na ang title, dahil asawa na siya ng pangulo ng bansa na si Pres. Glen Acosta."
"Sinabi ni Bautista na ang opisyal aniya ay dumating sa kanyang teritoryo kasama ang anakgaling sa Los Ba?Òos City, Laguna bago magPasko.","Sinabi ni Bautista na ang opisyal aniya ay dumating sa kanyang teritoryo kasama ang anakgaling sa Los Ba?Òos City, Laguna bago mag-Pasko."
Presyo ng pagkain ayon pa sa opisyal ang pinakabanta sa inflation ngunit may epekto din ang peso-dollar rate sa presyo ng pagkain dahil sa krudo at transportasyon.,Presyo ng pagkain ayon pa sa opisyal ang pinakabanta sa inflation ngunit may epekto rin ang peso-dollar rate sa presyo ng pagkain dahil sa krudo at transportasyon.
"Doon po inuumpisahan na napunta ako sa panggagamot, paliwanag niya.","Doon po nag-umpisa na napunta ako sa panggagamot, paliwanag niya."
"Siguro isa yun sa bastos na natanggap kong question, na hindi nila iniisip yung nararamdaman ng ini interview nila.","Siguro isa yun sa bastos na natanggap kong question, na hindi nila iniisip yung nararamdaman ng ini-interview nila."
"Sinabi ni Duque sa panayam ng Dobol B TV nitong Sabado na bukod sa pagbabakuna ng humigit kumulang 70 milyon laban sa COVID-19, ipapasa ng administrasyong Duterte sa susunod na administrasyon ang malaking masking compliance ng mga Pilipino.","Sinabi ni Duque sa panayam ng Dobol B TV nitong Sabado na bukod sa pagbabakuna ng humigit-kumulang 70 milyon laban sa COVID-19, ipapasa ng administrasyong Duterte sa susunod na administrasyon ang malaking masking compliance ng mga Pilipino."
"Hindi-lang namin alam kung anong growth ang gusto niya, para sa sarili o pati sa kanyang career.","Hindi lang namin alam kung anong growth ang gusto niya, para sa sarili o pati sa kanyang career."
"Kinilala nang PCG ang bangkay na si Alses Hassan, isa sa dalawang nawawalang pasahero ng MV Lady Mary Joy 3.","Kinilala ng PCG ang bangkay na si Alses Hassan, isa sa dalawang nawawalang pasahero ng MV Lady Mary Joy 3."
Nanawagan dinang PNP sa mga magulang na bantayan ang kanilang mga anak attiyaking kilalaang mga nakakasalumuhaupangmailigtas sa anumang pagkakasangkot sa bentahan nang iligal na droga.,Nanawagan dinang PNP sa mga magulang na bantayan ang kanilang mga anak attiyaking kilalaang mga nakakasalumuhaupangmailigtas sa anumang pagkakasangkot sa bentahan ng iligal na droga.
Para nga naman nasanay na siya sa sked sked ng taping kaya hinahanap na ng katawan niya.,Para nga naman nasanay na siya sa sked ng taping kaya hinahanap na ng katawan niya.
"Addition Hills, Mandaluyong City, ang nasawi ng makipagbuno at tangkaing agawin ang baril ng pulis na nagtatangkang umaresto sa kanya kamakalawa ng gabi.","Addition Hills, Mandaluyong City, ang nasawi nang makipagbuno at tangkaing agawin ang baril ng pulis na nagtatangkang umaresto sa kanya kamakalawa ng gabi."
Magagawa ito ni Pacquiao pamamagitan ng kaniyang MP Promotions na siyang humahawak sa ilang baguhang boksingero gaya ni Tokyo Olympics bronze medalist Eumir Felix Marcial.,Magagawa ito ni Pacquiao sa pamamagitan ng kaniyang MP Promotions na siyang humahawak sa ilang baguhang boksingero gaya ni Tokyo Olympics bronze medalist Eumir Felix Marcial.
"Kaya nga wala rin namang masisi si LJ, dahil siguro alam naman kung ano ang kanyang pinasukan.","Kaya nga wala rin namang masisi si LJ, dahil siguro alam naman niya kung ano ang kanyang pinasukan."
"Matapos maligo at sinabing É??virginÉ?ù pa siya, ano pa nga ba ang ebidensiya mo kung ano na ang ginagawa niya?","Matapos maligo at sinabing É??virginÉ?ù pa siya, ano pa nga ba ang ebidensiya mo kung ano na ang ginawa niya?"
"Aniya pa, Hindi naman siguro totoo na nagagalit-ang mother Pinty nila Alex at Toni na lumabas ang balita dahil gusto nga raw nila na maging exclusive sa vlog nila.","Aniya pa, Hindi naman siguro totoo na nagagalit ang mother Pinty nila Alex at Toni na lumabas ang balita dahil gusto nga raw nila na maging exclusive sa vlog nila."
"Kaya din umano nito na ipasilidad ang kanilang birth certificates online, kapalit ng P500.","Kaya rin umano nito na ipasilidad ang kanilang birth certificates online, kapalit ng P500."
Una ng binanggit ni Roque na handa na ilagay sa mas maluwag na sistema ang Kamaynilaan matapos ang ika-15 ng Oktubre.,Una nang binanggit ni Roque na handa na ilagay sa mas maluwag na sistema ang Kamaynilaan matapos ang ika-15 ng Oktubre.
"Kung mas ilalayo sila, mainam rin na sama-sama rin sila para wala silang contactÉ??wala silang middle man na mauutusan para mag-distribute at walang logistical connection, ani Tolentino, chairman of the Senate Committee on Justice and Human Rights.","Kung mas ilalayo sila, mainam din na sama-sama rin sila para wala silang contactÉ??wala silang middle man na mauutusan para mag-distribute at walang logistical connection, ani Tolentino, chairman of the Senate Committee on Justice and Human Rights."
Una nang sinabi ni Remulla na hindi vote-buying ang kanyang gagawa dahil wala pang March 25 (official campaign season ng local candidates) nang mamigay siya nang pera at wala pa sina Marcos nang mangyari ito.,Una nang sinabi ni Remulla na hindi vote-buying ang kanyang ginawa dahil wala pang March 25 (official campaign season ng local candidates) nang mamigay siya nang pera at wala pa sina Marcos nang mangyari ito.
"Itinuturing siya ngaying imported case at hindi nagkaroon ng contact komunidad, dahilan para sabihing ""very low"" ang tiyansang maipasa ito sa mga lokal.","Itinuturing siya ngaying imported case at hindi nagkaroon ng contact sa komunidad, dahilan para sabihing ""very low"" ang tiyansang maipasa ito sa mga lokal."
"Mula po sa Commission En Banc ang partido na hindi sang-ayon sa aming desisyon ay maaring umakyat po sa Korte Suprema roon po talaga ang final na desisyon sa mga issue ito, ayon kay Guanzon.","Mula po sa Commission En Banc ang partido na hindi sang-ayon sa aming desisyon ay maaring umakyat po sa Korte Suprema roon po talaga ang final na desisyon sa mga issue na ito, ayon kay Guanzon."
Actually sinabihan ko na sya na É??wag ng bumalik pero eto na naman sÉ??ya magha-É??HIÉ?ù lang daw at magpapa-alala na nandito lang sya sa tabi-tabi.,Actually sinabihan ko na sya na É??wag nang bumalik pero eto na naman sÉ??ya magha-É??HIÉ?ù lang daw at magpapa-alala na nandito lang sya sa tabi-tabi.
"Sana huwag tayo magmadali, ituloy pa din natin ang ating protocols.","Sana huwag tayo magmadali, ituloy pa rin natin ang ating protocols."
Nung nagpaputok siya roon nagdecide yung mga witness na mag-report sa barangay.,Nung nagpaputok siya roon nag-decide yung mga witness na mag-report sa barangay.
Bukod-sa TNT ay maglalaro rin sa EASL Champions Week ang San Miguel bilang kinatawan ng PBA.,Bukod sa TNT ay maglalaro rin sa EASL Champions Week ang San Miguel bilang kinatawan ng PBA.
"""sa tulong ng lokal na pamahalaan, tayo ay makikipag tulungan upang bigyan kayo ng disente, ligtas, at maayos na pabahay,"" dagdag ni GM Tai.","""Sa tulong ng lokal na pamahalaan, tayo ay makikipag-tulungan upang bigyan kayo ng disente, ligtas, at maayos na pabahay,"" dagdag ni GM Tai."
"Nangyari na iyan kay Vilma Santos noon pang early 70s, and take note, may mga gumagawa, hingi lang ng permiso sa kanya, at siyempre may royalties dahil ginagamit ang kanyang pangalan.","Nangyari na iyan kay Vilma Santos noon pang early 70s, and take note, may mga gumagawa, humihingi lang ng permiso sa kanya, at siyempre may royalties dahil ginagamit ang kanyang pangalan."
"Kapag napatunayan aniya ang mga ito, ipatitigil niya ang e-sabong bago siya alis sa puwesto.","Kapag napatunayan aniya ang mga ito, ipatitigil niya ang e-sabong bago siya umalis sa puwesto."
Nabatid na kusang loob na sumuko ang suspek na isang 15-anyos sa pulisya at nasa kustodiya na nang Pila-DSWD.,Nabatid na kusang loob na sumuko ang suspek na isang 15-anyos sa pulisya at nasa kustodiya na ng Pila-DSWD.
"Si Yllana, 73-anyos, ay tubong Naga City at pumasok sa diplomatic service ng Holy See noong noong 1984.","Si Yllana, 73-anyos, ay tubong Naga City at pumasok sa diplomatic service ng Holy See noong 1984."
Kasi choosy pa nga raw ito sa bibilhin ng kanyang vacation house sa Bataan.,Kasi choosy pa nga raw ito sa bumibili ng kanyang vacation house sa Bataan.
Tiniyak rin ni Marcos na masisiyahan ang mga bata na magpupunta sa Palasyo dahil sa malaking Christmas tree at sa inihanda nilang pagkain.,Tiniyak din ni Marcos na masisiyahan ang mga bata na magpupunta sa Palasyo dahil sa malaking Christmas tree at sa inihanda nilang pagkain.
"Sa mag-uulat ng Unang Balita nitong Miyerkoles, sinabing ang SB19 lamang ang Pinoy group na pasok sa listahan.","Sa ulat ng Unang Balita nitong Miyerkoles, sinabing ang SB19 lamang ang Pinoy group na pasok sa listahan."
Maaari pa ring manatili sa Pilipinas ang mga É??overstayingÉ?ù na dayuhan makaraang suspindihin nang Bureau of Immigration (BI) ang Order to Leave (OTL) dahil sa konsiderasyon ngayong pandemya.,Maaari pa ring manatili sa Pilipinas ang mga É??overstayingÉ?ù na dayuhan makaraang suspindihin ng Bureau of Immigration (BI) ang Order to Leave (OTL) dahil sa konsiderasyon ngayong pandemya.
Hindi mo nakakakita ang kalabang virus.,Hindi mo nakikita ang kalabang virus.
Mga 12 hours rin daw itong nag-labor bago iniluwal ang baby.,Mga 12 hours din daw itong nag-labor bago iniluwal ang baby.
"Iyan ang masamang epekto ng mga tsismis-sa social media, na lalo pang pinalala ng dalawang taong lockdown.","Iyan ang masamang epekto ng mga tsismis sa social media, na lalo pang pinalala ng dalawang taong lockdown."
É??i think stamina din yung labanan.,É??I think stamina rin yung labanan.
"Kaya naman sa kanyang post, hindi niya raw kaaasa ang lahat ng ito.","Kaya naman sa kanyang post, hindi niya raw inasahan ang lahat ng ito."
Sinabi rin ni Vhong na nagsusubok siya ng Diyos.,Sinabi rin ni Vhong na sinubukan siya ng Diyos.
May mga nagsasabi namang namana-lang niya ang husay ng biological dad niyang si Sen.,May mga nagsasabi namang namana lang niya ang husay ng biological dad niyang si Sen.
"Ilang beses ng nadadapa si Mark Anthony, pero dahil nga sa isang mahusay na actor, at dahil din sa mabait naman kaya walang sawa pa ring nabibigyan uli ng break.","Ilang beses nang nadadapa si Mark Anthony, pero dahil nga sa isang mahusay na actor, at dahil din sa mabait naman kaya walang sawa pa ring nabibigyan uli ng break."
Eh inaanak siya sa ikakasal ni PBBM.,Eh inaanak siya sa kasal ni PBBM.
"Sa kabila ng hiwalayan noon nina Mark at aktres na si Irene Celebre, sabi ni Gabby na pinanatili ng kaniyang ama ang relasyon nito sa kanilang magkakapatid.","Sa kabila ng hiwalayan noon nina Mark at aktres na si Irene Celebre, sinabi ni Gabby na pinanatili ng kaniyang ama ang relasyon nito sa kanilang magkakapatid."
"Sa Gabriel Rene Moreno university sa Santa Cruz, tatlong porsiyento umano ng 90,000 estudyante ang mahigit 10 taon ng nag-aaral doon.","Sa Gabriel Rene Moreno university sa Santa Cruz, tatlong porsiyento umano ng 90,000 estudyante ang mahigit 10 taon nang nag-aaral doon."
"Daraga, Albay, Philippines É?? Hindi sukat akalain ng isang magsasaka na ang ilang araw ng inirereklamong nakalambiting kable ng Albay Power Energy Corporation (APEC) ang siyang tatapos sa kanyang buhay matapos makuryente habang magsusuga sana ng kanyang mga kalabaw at baka sa kanilang lupain sa Brgy.","Daraga, Albay, Philippines É?? Hindi sukat akalain ng isang magsasaka na ang ilang araw nang inirereklamong nakalambiting kable ng Albay Power Energy Corporation (APEC) ang siyang tatapos sa kanyang buhay matapos makuryente habang magsusuga sana ng kanyang mga kalabaw at baka sa kanilang lupain sa Brgy."
"Nanghihingi siya ng reaksyon ng ka-Troika kong si Noel Ferrer, pero É??hahaha!É?ù","Hiningan siya ng reaksyon ng ka-Troika kong si Noel Ferrer, pero É??hahaha!É?ù"
"But then nasa kanilang desisyon yun, baka magagawa nila na mga flexible na gaya ng kagagawa nila ngayon, ani De Grano.","But then nasa kanilang desisyon yun, baka magagawa nila na mga flexible na gaya ng ginagawa nila ngayon, ani De Grano."
"Sa ulat ni Paul Hernandez sa GMA Regional TV ""Balitang Southern Tagalog"" nitong Lunes, kikilalanin ang biktima na si Michael Yare, 39-anyos.","Sa ulat ni Paul Hernandez sa GMA Regional TV ""Balitang Southern Tagalog"" nitong Lunes, kinilala ang biktima na si Michael Yare, 39-anyos."
"Sa ulat ng Sampaloc Police Station 4, alas-9:30 ng gabi ng maganap ang krimen sa may kanto ng Miguelin St.","Sa ulat ng Sampaloc Police Station 4, alas-9:30 ng gabi nang maganap ang krimen sa may kanto ng Miguelin St."
"May involved mang manghuhula o wala, we trust them both, hindi ni la pababayaang magkaroon ng problema sa relasyon nila dahil napakaraming masasaktan.","May involved mang manghuhula o wala, we trust them both, hindi nila pababayaang magkaroon ng problema sa relasyon nila dahil napakaraming masasaktan."
"Sinabi rin ni Angara na nakikipag-kilala rin ang prinsipyo ng equity of the incumbent sa Kamara de Representantes, na kung minsan ay may koneksiyon sa kinaanibang partido ng mambabatas.","Sinabi rin ni Angara na kinikilala rin ang prinsipyo ng equity of the incumbent sa Kamara de Representantes, na kung minsan ay may koneksiyon sa kinaanibang partido ng mambabatas."
"Dapat na ituon ng gobyerno ang papansinin nito sa testing, repor??ting at pagresponde sa mga local outbreak ng ASF.","Dapat na ituon ng gobyerno ang pansin nito sa testing, repor??ting at pagresponde sa mga local outbreak ng ASF."
"Sa naturang segment, dalawang babae ang maglalaban laban sa tatlong rounds na Ooh La-Lakad, kung saan rarampa sila sa stage suot ang kanilang mga bikini, ang Hot-tanungan, kung saan bibigyan sila ng isang tanong na kailangan nilang sagutin, at Final Women-sahe,kung saan magbabahagi sila ng kanilang mga nagustuhan sa kanilang kalaban.","Sa naturang segment, dalawang babae ang maglalaban-laban sa tatlong rounds na Ooh La-Lakad, kung saan rarampa sila sa stage suot ang kanilang mga bikini, ang Hot-tanungan, kung saan bibigyan sila ng isang tanong na kailangan nilang sagutin, at Final Women-sahe,kung saan magbabahagi sila ng kanilang mga nagustuhan sa kanilang kalaban."
Ang suspek ay isa umanong inilalaki na armado ng di pa tukoy na kalibre ng baril.,Ang suspek ay isa umanong lalaki na armado ng di pa tukoy na kalibre ng baril.
"Imagine mo, Presidente, ganun ang nagsabi sa isang senador?","Imagine mo, Presidente, ganun ang sinasabi sa isang senador?"
