Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Hindi ako sanay na MAGLOKO,Hindi ako sanay na magloko,Hindi sanay na,[],"[{'token': 'RBF', 'suggestions': ['KEEP_RBF_RBF'], 'distances': [3.4000000000000004]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS'], 'distances': [3.4000000000000004]}, {'token': 'JJD', 'suggestions': ['KEEP_JJD_JJD'], 'distances': [3.4000000000000004]}, {'token': 'CCP', 'suggestions': ['KEEP_CCP_CCP'], 'distances': [3.4000000000000004]}, {'token': 'NNPA', 'suggestions': ['DELETE_NNPA'], 'distances': [3.4000000000000004]}]"
Sinabi rin ni Vhong na nagsusubok siya ng Diyos,Sinabi rin ni Vhong na sinubukan siya ng Diyos,,,
Eh inaanak siya sa ikakasal ni PBBM,Eh inaanak siya sa kasal ni PBBM,inaanak sa ikakasal ni Abad,[],"[{'token': 'NNPA', 'suggestions': ['DELETE_NNPA', 'DELETE_NNPA', 'DELETE_NNPA'], 'distances': [1, 2.2, 2.2]}, {'token': 'VBTR', 'suggestions': ['KEEP_VBTR_VBTR', 'KEEP_VBTR_VBTR', 'KEEP_VBTR_VBTR', 'KEEP_VBTR_VBTR', 'KEEP_VBTR_VBTR'], 'distances': [1, 1.2, 2.2, 1.2, 2.2]}, {'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS'], 'distances': [1, 1.2, 1, 2.2, 1.2, 2.2]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [1, 1.2, 1, 2.2, 1.2, 2.2]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [1, 1.2, 1, 2.2, 1.2, 2.2]}, {'token': 'DTP', 'suggestions': ['KEEP_DTP_DTP', 'KEEP_DTP_DTP', 'KEEP_DTP_DTP', 'KEEP_DTP_DTP', 'KEEP_DTP_DTP'], 'distances': [1.2, 1, 2.2, 1.2, 2.2]}, {'token': 'NNPA', 'suggestions': ['SUBSTITUTE_NNPA_NNP', 'SUBSTITUTE_NNPA_NNP', 'SUBSTITUTE_NNPA_NNP'], 'distances': [1, 1.2, 2.2]}]"
hit dahil pinagusapan pero hindi naman kumita talaga,Hit dahil pinagusapan pero hindi naman kumita talaga,pinagbago dahil pinag - usapan pero,[],"[{'token': 'FW', 'suggestions': ['SUBSTITUTE_FW_VBRF', 'SUBSTITUTE_FW_VBRF'], 'distances': [2, 3.2]}, {'token': 'CCR', 'suggestions': ['SUBSTITUTE_CCR_PMS', 'DELETE_CCR', 'SUBSTITUTE_CCR_PMS', 'DELETE_CCR'], 'distances': [2, 2.2, 3.2, 3.4000000000000004]}, {'token': 'VBRF', 'suggestions': ['SUBSTITUTE_VBRF_NNC', 'KEEP_VBRF_VBRF', 'KEEP_VBRF_VBRF', 'SUBSTITUTE_VBRF_NNC', 'KEEP_VBRF_VBRF', 'DELETE_VBRF'], 'distances': [2, 2.2, 2.4, 3.2, 3.4000000000000004, 3.4000000000000004]}, {'token': 'PMS', 'suggestions': ['SUBSTITUTE_PMS_CCT', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'SUBSTITUTE_PMS_CCT', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS'], 'distances': [2, 2.2, 2.4, 2.4, 3.2, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996]}, {'token': 'NNC', 'suggestions': ['DELETE_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'DELETE_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [2, 2.2, 2.4, 2.4, 4.6000000000000005, 3.2, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996]}, {'token': 'CCT', 'suggestions': ['DELETE_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'DELETE_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [2, 2.2, 2.4, 2.4, 4.6000000000000005, 3.2, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996]}, {'token': 'RBF', 'suggestions': ['DELETE_RBF', 'DELETE_RBF', 'SUBSTITUTE_RBF_VBAF', 'SUBSTITUTE_RBF_VBAF', 'DELETE_RBF', 'DELETE_RBF', 'SUBSTITUTE_RBF_VBAF', 'SUBSTITUTE_RBF_VBAF'], 'distances': [2.2, 2.4, 2.4, 4.6000000000000005, 3.2, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996]}, {'token': 'RBI', 'suggestions': ['DELETE_RBI', 'DELETE_RBI', 'DELETE_RBI', 'DELETE_RBI', 'DELETE_RBI', 'DELETE_RBI'], 'distances': [2.4, 2.4, 4.6000000000000005, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996]}, {'token': 'VBAF', 'suggestions': ['DELETE_VBAF', 'DELETE_VBAF', 'DELETE_VBAF', 'DELETE_VBAF'], 'distances': [2.4, 4.6000000000000005, 3.4000000000000004, 3.5999999999999996]}, {'token': 'RBT', 'suggestions': ['DELETE_RBT', 'DELETE_RBT'], 'distances': [4.6000000000000005, 3.5999999999999996]}]"
Imagine mo Presidente ganun ang nagsabi sa isang senador,Imagine mo Presidente ganun ang sinasabi sa isang senador,Imagine Presidente ang nagsabi sa isang senador,[],"[{'token': 'CCB', 'suggestions': ['KEEP_CCB_CCB', 'KEEP_CCB_CCB'], 'distances': [2.4, 2.4]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS'], 'distances': [2.4, 2.2, 2.4, 2.2]}, {'token': 'NNP', 'suggestions': ['KEEP_NNP_NNP', 'KEEP_NNP_NNP', 'KEEP_NNP_NNP', 'KEEP_NNP_NNP', 'KEEP_NNP_NNP', 'KEEP_NNP_NNP'], 'distances': [2.4, 2.2, 1.2, 2.4, 2.2, 1.2]}, {'token': 'PRC', 'suggestions': ['DELETE_PRC', 'DELETE_PRC', 'DELETE_PRC', 'DELETE_PRC', 'DELETE_PRC', 'DELETE_PRC', 'DELETE_PRC'], 'distances': [2.4, 2.2, 1.2, 1, 2.4, 2.2, 1.2]}, {'token': 'DTC', 'suggestions': ['KEEP_DTC_DTC', 'KEEP_DTC_DTC', 'KEEP_DTC_DTC', 'KEEP_DTC_DTC', 'KEEP_DTC_DTC', 'KEEP_DTC_DTC', 'KEEP_DTC_DTC'], 'distances': [2.4, 2.2, 1.2, 1, 2.4, 2.2, 1.2]}, {'token': 'VBTS', 'suggestions': ['KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS'], 'distances': [2.4, 2.2, 1.2, 1, 2.4, 2.2, 1.2]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [2.2, 1.2, 1, 2.4, 2.2, 1.2]}, {'token': 'PRI_CCP', 'suggestions': ['KEEP_PRI_CCP_PRI_CCP', 'KEEP_PRI_CCP_PRI_CCP', 'KEEP_PRI_CCP_PRI_CCP', 'KEEP_PRI_CCP_PRI_CCP'], 'distances': [1.2, 1, 2.2, 1.2]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [1, 1.2]}]"
Kakasuhan po nila motu propio po itong si,Kakasuhan po nila motu propio po itong si,na to motu propio,[],"[{'token': 'VBOF', 'suggestions': ['SUBSTITUTE_VBOF_JJCS_JJD_CCP', 'SUBSTITUTE_VBOF_JJCS_JJD_CCP'], 'distances': [5.800000000000001, 7.000000000000001]}, {'token': 'RBS', 'suggestions': ['SUBSTITUTE_RBS_FW', 'SUBSTITUTE_RBS_JJCS_JJD_CCP', 'SUBSTITUTE_RBS_FW', 'SUBSTITUTE_RBS_PRI_CCP'], 'distances': [5.800000000000001, 5.800000000000001, 7.000000000000001, 5.800000000000001]}, {'token': 'PRP', 'suggestions': ['DELETE_PRP', 'DELETE_PRP', 'SUBSTITUTE_PRP_PRI_CCP', 'DELETE_PRP', 'DELETE_PRP'], 'distances': [5.800000000000001, 5.800000000000001, 4.6000000000000005, 7.000000000000001, 5.800000000000001]}, {'token': 'FW', 'suggestions': ['KEEP_FW_FW', 'KEEP_FW_FW', 'KEEP_FW_FW', 'KEEP_FW_FW', 'KEEP_FW_FW'], 'distances': [5.800000000000001, 5.800000000000001, 4.6000000000000005, 7.000000000000001, 5.800000000000001]}, {'token': 'FW', 'suggestions': ['DELETE_FW', 'KEEP_FW_FW', 'KEEP_FW_FW', 'DELETE_FW', 'KEEP_FW_FW'], 'distances': [5.800000000000001, 5.800000000000001, 4.6000000000000005, 7.000000000000001, 5.800000000000001]}, {'token': 'RBS', 'suggestions': ['DELETE_RBS', 'DELETE_RBS', 'SUBSTITUTE_RBS_DTP', 'DELETE_RBS', 'SUBSTITUTE_RBS_DTP'], 'distances': [5.800000000000001, 5.800000000000001, 4.6000000000000005, 7.000000000000001, 5.800000000000001]}, {'token': 'PRO_CCP', 'suggestions': ['DELETE_PRO_CCP', 'DELETE_PRO_CCP', 'DELETE_PRO_CCP', 'DELETE_PRO_CCP'], 'distances': [5.800000000000001, 4.6000000000000005, 7.000000000000001, 5.800000000000001]}, {'token': 'DTP', 'suggestions': ['DELETE_DTP', 'DELETE_DTP'], 'distances': [4.6000000000000005, 5.800000000000001]}]"
Samantala mayroon rin namang  bettors ang nakapaguwi ng tigP,Samantala mayroon din namang  bettors ang nakapaguwi ng tigP,,,
Kasi makikipag away ka lang dun eh,Kasi makikipagaway ka lang dun eh,na away lang,[],"[{'token': 'CCR', 'suggestions': ['SUBSTITUTE_CCR_PRI_CCP', 'SUBSTITUTE_CCR_PRI_CCP', 'SUBSTITUTE_CCR_PRI_CCP'], 'distances': [4.6000000000000005, 5.800000000000001, 7.000000000000001]}, {'token': 'JJD', 'suggestions': ['DELETE_JJD', 'SUBSTITUTE_JJD_PRI_CCP', 'DELETE_JJD', 'SUBSTITUTE_JJD_PRI_CCP', 'DELETE_JJD'], 'distances': [4.6000000000000005, 4.6000000000000005, 5.800000000000001, 5.800000000000001, 7.000000000000001]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [4.6000000000000005, 4.6000000000000005, 4.6000000000000005, 5.800000000000001, 5.800000000000001, 7.000000000000001]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS'], 'distances': [4.6000000000000005, 4.6000000000000005, 4.6000000000000005, 5.800000000000001, 5.800000000000001, 7.000000000000001]}, {'token': 'RBI', 'suggestions': ['KEEP_RBI_RBI', 'KEEP_RBI_RBI', 'KEEP_RBI_RBI', 'KEEP_RBI_RBI', 'KEEP_RBI_RBI', 'KEEP_RBI_RBI'], 'distances': [4.6000000000000005, 4.6000000000000005, 4.6000000000000005, 5.800000000000001, 5.800000000000001, 7.000000000000001]}, {'token': 'PRL', 'suggestions': ['DELETE_PRL', 'DELETE_PRL', 'DELETE_PRL', 'DELETE_PRL', 'DELETE_PRL'], 'distances': [4.6000000000000005, 4.6000000000000005, 5.800000000000001, 5.800000000000001, 7.000000000000001]}, {'token': 'NNCA', 'suggestions': ['DELETE_NNCA', 'DELETE_NNCA', 'DELETE_NNCA'], 'distances': [4.6000000000000005, 5.800000000000001, 7.000000000000001]}]"
Sasampahan ng kasong qualified theft ang suspek ayon sapulisya,Sasampahan ng kasong qualified theft ang suspek ayon sa pulisya,,,
Pero kaya kaya yun,Pero kaya yun,Pero kaya -,[],"[{'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT'], 'distances': [3.4000000000000004]}, {'token': 'CCR', 'suggestions': ['KEEP_CCR_CCR'], 'distances': [3.4000000000000004]}, {'token': 'PMS', 'suggestions': ['KEEP_PMS_PMS'], 'distances': [3.4000000000000004]}, {'token': 'CCR', 'suggestions': ['DELETE_CCR'], 'distances': [3.4000000000000004]}, {'token': 'PRO', 'suggestions': ['DELETE_PRO'], 'distances': [3.4000000000000004]}]"
Kung mahilig sya sa baril may baril sa puno,Kung mahilig sya sa baril may baril sa puno,mahilig sya sa baril puno,[],"[{'token': 'CCR', 'suggestions': ['DELETE_CCR', 'DELETE_CCR'], 'distances': [2.2, 3.4000000000000004]}, {'token': 'JJD', 'suggestions': ['KEEP_JJD_JJD', 'KEEP_JJD_JJD', 'KEEP_JJD_JJD', 'KEEP_JJD_JJD'], 'distances': [2.2, 2.4, 3.4000000000000004, 3.5999999999999996]}, {'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'KEEP_PRS_PRS', 'KEEP_PRS_PRS', 'KEEP_PRS_PRS', 'KEEP_PRS_PRS', 'SUBSTITUTE_PRS_LM'], 'distances': [2.2, 2.4, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'SUBSTITUTE_CCT_LM', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'SUBSTITUTE_CCT_VBH'], 'distances': [2.2, 2.4, 3.4000000000000004, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'DELETE_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [2.2, 2.4, 3.4000000000000004, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'VBH', 'suggestions': ['DELETE_VBH', 'DELETE_VBH', 'SUBSTITUTE_VBH_CCT', 'KEEP_VBH_VBH', 'DELETE_VBH', 'DELETE_VBH', 'SUBSTITUTE_VBH_CCT'], 'distances': [2.2, 2.4, 3.4000000000000004, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'NNC', 'suggestions': ['DELETE_NNC', 'DELETE_NNC', 'KEEP_NNC_NNC', 'DELETE_NNC', 'DELETE_NNC', 'KEEP_NNC_NNC'], 'distances': [2.4, 3.4000000000000004, 3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'CCT', 'suggestions': ['DELETE_CCT', 'KEEP_CCT_CCT', 'DELETE_CCT', 'DELETE_CCT'], 'distances': [3.4000000000000004, 3.4000000000000004, 3.5999999999999996, 4.6000000000000005]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'DELETE_NNC'], 'distances': [3.4000000000000004, 4.6000000000000005]}]"
Hindi nyo naman sinabi na bingi balik tanaw niya,Hindi nyo naman sinabi na bingi baliktanaw niya,ay Hindi naman niya,[],"[{'token': 'LM', 'suggestions': ['INSERT_LM'], 'distances': [0.8]}, {'token': 'RBF', 'suggestions': ['KEEP_RBF_RBF', 'KEEP_RBF_RBF'], 'distances': [4.6000000000000005, 5.800000000000001]}, {'token': 'NNC', 'suggestions': ['DELETE_NNC', 'SUBSTITUTE_NNC_LM', 'DELETE_NNC', 'KEEP_NNC_NNC'], 'distances': [4.6000000000000005, 5.800000000000001, 5.800000000000001, 4.4]}, {'token': 'RBI', 'suggestions': ['KEEP_RBI_RBI', 'DELETE_RBI', 'DELETE_RBI', 'KEEP_RBI_RBI', 'SUBSTITUTE_RBI_PRS'], 'distances': [4.6000000000000005, 5.800000000000001, 3.4000000000000004, 5.800000000000001, 4.4]}, {'token': 'VBOF_CCP', 'suggestions': ['DELETE_VBOF_CCP', 'KEEP_VBOF_CCP_VBOF_CCP', 'KEEP_VBOF_CCP_VBOF_CCP', 'DELETE_VBOF_CCP', 'DELETE_VBOF_CCP'], 'distances': [4.6000000000000005, 5.800000000000001, 3.4000000000000004, 5.800000000000001, 4.4]}, {'token': 'JJD', 'suggestions': ['KEEP_JJD_JJD', 'DELETE_JJD', 'DELETE_JJD', 'KEEP_JJD_JJD', 'DELETE_JJD'], 'distances': [4.6000000000000005, 5.800000000000001, 3.4000000000000004, 5.800000000000001, 4.4]}, {'token': 'NNC', 'suggestions': ['DELETE_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'DELETE_NNC', 'DELETE_NNC'], 'distances': [4.6000000000000005, 5.800000000000001, 3.4000000000000004, 5.800000000000001, 4.4]}, {'token': 'JJD', 'suggestions': ['DELETE_JJD', 'DELETE_JJD', 'DELETE_JJD', 'DELETE_JJD'], 'distances': [5.800000000000001, 3.4000000000000004, 5.800000000000001, 4.4]}, {'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'DELETE_PRS'], 'distances': [3.4000000000000004, 4.4]}]"
Marami ang nakakarelate sa bagong TV commercial nang Tanduay,Marami ang nakakarelate sa bagong TV commercial ng Tanduay,,,
Handanghanda na talagang magpop si Jessy Mendiola,Handanghanda na talagang magpop si Jessy Mendiola,Handanghandang kay magpop si Jessy Mendiola,[],"[{'token': 'JJD_CCP', 'suggestions': ['KEEP_JJD_CCP_JJD_CCP', 'SUBSTITUTE_JJD_CCP_LM'], 'distances': [2.4, 3.4000000000000004]}, {'token': 'RBT_CCP', 'suggestions': ['SUBSTITUTE_RBT_CCP_DTP', 'SUBSTITUTE_RBT_CCP_LM', 'DELETE_RBT_CCP'], 'distances': [2.4, 2.2, 3.4000000000000004]}, {'token': 'VBAF', 'suggestions': ['SUBSTITUTE_VBAF_NNP', 'KEEP_VBAF_VBAF', 'KEEP_VBAF_VBAF'], 'distances': [2.4, 2.2, 3.4000000000000004]}, {'token': 'DTP', 'suggestions': ['DELETE_DTP', 'KEEP_DTP_DTP', 'KEEP_DTP_DTP'], 'distances': [2.4, 2.2, 3.4000000000000004]}, {'token': 'NNP', 'suggestions': ['DELETE_NNP', 'KEEP_NNP_NNP', 'KEEP_NNP_NNP'], 'distances': [2.4, 2.2, 3.4000000000000004]}, {'token': 'NNP', 'suggestions': ['KEEP_NNP_NNP', 'KEEP_NNP_NNP'], 'distances': [2.2, 3.4000000000000004]}]"
