Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
"Ta pos na-feel ko na, ??Ay!","Tapos na-feel ko na, ??Ay!","Ta pos na-feel ko na, ??Ay!",[],{}
"Sa video ng Agence-France Presse, makikita ang mga tao na umiindak sa maingay ng tugtog at ma lilikot na ilaw sa nightclub.","Sa video ng Agence-France Presse, makikita ang mga tao na umiindak sa maingay ng tugtog at malilikot na ilaw sa nightclub.","Sa video ng agencies-arancel dress, makikita ang mga tao na umiindak sa maingay ng tugtog at ma lilikot na ilaw sa nightlife.","['Agence', 'France', 'Presse', 'nightclub']","{'Agence': ['agency', 'absence', 'agencies', 'agenda', 'agendy'], 'France': ['franche', 'rance', 'arancel', 'avance', 'brace'], 'Presse': ['press', 'presser', 'dress', 'dressed', 'dresser'], 'nightclub': ['nagtuluy', 'night', 'nightlife', 'nighttime', 'rightful']}"
"Natangay noon ng suspek ang mga cellphone at pera na tinatayang umabot sa P21,000 ang halaga.","Natangay noon ng suspek ang mga cellphone at pera na tinatayang aabot sa P21,000 ang halaga.","Natangay noon ng suspek ang mga cellphone at pera na tinatayang umabot sa p3,aam ang halaga.","['P21', '000']","{'P21': ['p25', 'p', 'p3', 'p57', 'p75'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
Nawawala pa ang puso ni ni Carla Abellana.,Nawawala pa ang puso ni Carla Abellana.,Nawawala pa ang puso ni ni aala abelyanang.,"['Carla', 'Abellana']","{'Carla': ['carta', 'aabla', 'aala', 'abla', 'ala'], 'Abellana': ['abelyana', 'abalang', 'abelyanang', 'aberiang', 'aberyang']}"
Dispensa ang kahihingi ngayon ng Communist Party of the Philippines at New People's Army (CPP-NPA) matapos masawi ang isang atleta't kanyang pinsan kaugnay ng ikinasang aksyong militar ng mga rebelde nitong Linggo.,Dispensa ang hinihingi ngayon ng Communist Party of the Philippines at New People's Army (CPP-NPA) matapos masawi ang isang atleta't kanyang pinsan kaugnay ng ikinasang aksyong militar ng mga rebelde nitong Linggo.,Dispensa ang hihingi ngayon ng Communist Party of the Philippines at New People's Army (cop-na) matapos masawi ang isang atleta't kanyang pinsan kaugnay ng ikinasang aksyong militar ng mga rebelde nitong Linggo.,"['kahihingi', 'CPP', 'NPA']","{'kahihingi': ['mahihingi', 'nahihingi', 'hihingi', 'ihihingi', 'kahiging'], 'CPP': ['app', 'cap', 'cop', 'cup', 'ap'], 'NPA': ['apa', 'ipa', 'na', 'naa', 'napa']}"
Nakalista bilang special non-working holiday ang ika-25 ng Pebrero taun-taon bilang pagsariwa na rin sa pagaaklas ng mga Pilipino sa pagpapatalsik kay Macoy sa Malaca?ñang.,Nakalista bilang special non-working holiday ang ika-25 ng Pebrero taun-taon bilang pagsariwa na rin sa pag-aaklas ng mga Pilipino sa pagpapatalsik kay Macoy sa Malaca?ñang.,Nakalista bilang special non-working holiday ang ika-ad ng Pebrero taun-taon bilang pagsariwa na rin sa nagbaklas ng mga Pilipino sa pagpapatalsik kay aagoy sa malasa?bang.,"['25', 'pagaaklas', 'Macoy', 'Malaca', 'ñang']","{'25': ['p25', 'ab', 'ad', 'ag', 'ah'], 'pagaaklas': ['pagbaklas', 'magbaklas', 'nagbaklas', 'pagbabaklas', 'pagbakas'], 'Macoy': ['macos', 'aaboy', 'aagoy', 'aamoy', 'aapoy'], 'Malaca': ['malaga', 'malala', 'malasa', 'malata', 'malawa'], 'ñang': ['aang', 'ang', 'bang', 'cang', 'dang']}"
"Ang programa ay naglalayong magbigay ng karagdagang pondo sa mga LGUs na makikipag-kilala bilang mahirap, disadvantaged, at nahuhuli upang suportahan ang pagpapatupad ng kanilang mga prayoridad na proyekto at serbisyo.","Ang programa ay naglalayong magbigay ng karagdagang pondo sa mga LGUs na kinilala bilang mahirap, disadvantaged, at nahuhuli upang suportahan ang pagpapatupad ng kanilang mga prayoridad na proyekto at serbisyo.","Ang programa ay naglalayong magbigay ng karagdagang pondo sa mga LGUs na makikipag-kilala bilang mahirap, disadvantaged, at nahuhuli upang suportahan ang pagpapatupad ng kanilang mga prayoridad na proyekto at serbisyo.",[],{}
Ito ang inihayag ni Partido Reporma standard-bearer Ping Lacson na isa sa katunayan ni to ang kapwa niya Cavite?ño na si Josh Mojica.,Ito ang inihayag ni Partido Reporma standard-bearer Ping Lacson na isa sa katunayan nito ang kapwa niya Cavite?ño na si Josh Mojica.,Ito ang inihayag ni Partido Reporma standard-bearer Ping ason na isa sa katunayan ni to ang kapwa niya Cavite?co na si bosa momiya.,"['Lacson', 'ño', 'Josh', 'Mojica']","{'Lacson': ['lason', 'arson', 'ason', 'kalson', 'labon'], 'ño': ['ao', 'bo', 'co', 'do', 'go'], 'Josh': ['posh', 'ash', 'bosa', 'boso', 'boss'], 'Mojica': ['monica', 'momia', 'momiya', 'bobida', 'bobina']}"
Habang hiniling naman nang grupo ng mga healthcare professional at mga professor kay Pangulong Bongbong Marcos Jr.,Habang hiniling naman ng grupo ng mga healthcare professional at mga professor kay Pangulong Bongbong Marcos Jr.,Habang hiniling naman nang grupo ng mga healthcare professional at mga professor kay Pangulong Bongbong Marcos Jr.,[],{}
Noong mga months na po after namin mag-usap sabi niya po napapanood ni ya ako sa Sherlock Jr.,Noong mga months na po after namin mag-usap sabi niya po napapanood niya ako sa Sherlock Jr.,Noong mga months na po after namin mag-usap sabi niya po napapanood ni ya ako sa block Jr.,['Sherlock'],"{'Sherlock': ['shock', 'sunblock', 'block', 'check', 'clock']}"
"Ini-report sa kanila ng local manufacturer ang resulta ng lab test kung saan walang nakitang ethylene oxide sa mga sample na ipinadala para sa mga sinusunod na variant: Pancit canton extra hot chili, pancit canton regular, pancit canton chilimansi at instant mami beef regular.","Ini-report sa kanila ng local manufacturer ang resulta ng lab test kung saan walang nakitang ethylene oxide sa mga sample na ipinadala para sa mga sumusunod na variant: Pancit canton extra hot chili, pancit canton regular, pancit canton chilimansi at instant mami beef regular.","Ini-report sa kanila ng local manufacturer ang resulta ng lab test kung saan walang nakitang ethylene oxide sa mga sample na ipinadala para sa mga sinusunod na variant: Pancit canton extra hot chili, pancit canton regular, pancit canton childrens at instant mami beef regular.",['chilimansi'],"{'chilimansi': ['calamansi', 'chalian', 'childrens', 'diliman', 'dilimang']}"
Pumangatlo ang Thailand na-may 4-2 marka.,Pumangatlo ang Thailand na may 4-2 marka.,Pumangatlo ang hadlang na-may d-d marka.,"['Thailand', '4', '2']","{'Thailand': ['garland', 'hablang', 'hadlang', 'hailing', 'hainan'], '4': ['b', 'c', 'd', 'e', 'f'], '2': ['b', 'c', 'd', 'e', 'f']}"
Kaugnay kaugnay ang pahayag matapos mapagdesisyunan ng National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) na hindi irekomenda kay Marcos Jr.,Kaugnay ang pahayag matapos mapagdesisyunan ng National Task Force to End Local Communist Armed Conflict (NTF-ELCAC) na hindi irekomenda kay Marcos Jr.,Kaugnay kaugnay ang pahayag matapos mapagdesisyunan ng National Task Force to End Local Communist Armed Conflict (NTF-alab) na hindi irekomenda kay Marcos Jr.,['ELCAC'],"{'ELCAC': ['ecar', 'ala', 'alab', 'alak', 'alam']}"
Kaya siguro siya tinatanim ng sama ng loob at pinagplanuhan nila na patayin si mama niya.,Kaya siguro siya nagtanim ng sama ng loob at pinagplanuhan nila na patayin si mama niya.,Kaya siguro siya natanim ng sama ng loob at pinagplanuhan nila na patayin si mama niya.,['tinatanim'],"{'tinatanim': ['itinatanim', 'itatanim', 'natanim', 'pinatalim', 'tagatanim']}"
May kaniya-kaniya na din aniyang ordinansa ang local government units (LGUs) alinsunod sa inilabas nitong nakalipas na Enero 3 na MMDA Resolution No.,May kaniya-kaniya na rin aniyang ordinansa ang local government units (LGUs) alinsunod sa inilabas nitong nakalipas na Enero 3 na MMDA Resolution No.,May kaniya-kaniya na rin aniyang ordinansa ang local government units (LGUs) alinsunod sa inilabas nitong nakalipas na Enero d na MMDA Resolution No.,['3'],"{'3': ['b', 'c', 'd', 'e', 'f']}"
Halos hindi na makilala ang magkapatid na edad 4 at 7 ng makasama silang tupukin ng apoy na kung saan nadamay rin ang 10-kabahayan sa nasabing barangay.,Halos hindi na makilala ang magkapatid na edad 4 at 7 nang makasama silang tupukin ng apoy na kung saan nadamay rin ang 10-kabahayan sa nasabing barangay.,Halos hindi na makilala ang magkapatid na edad d at d ng makasama silang tupukin ng apoy na kung saan naramay rin ang ag-kabahayan sa nasabing barangay.,"['4', '7', '10']","{'4': ['b', 'c', 'd', 'e', 'f'], '7': ['b', 'c', 'd', 'e', 'f'], '10': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Umabot naman sa 67 ang kamamatay lang-sa COVID-19 dahilan para umabot patungong 10,874 lahat-lahat ng mga pumanaw rito.","Umabot naman sa 67 ang kamamatay lang sa COVID-19 dahilan para umabot patungong 10,874 lahat-lahat ng mga pumanaw rito.","Umabot naman sa ag ang kamamatay lang-sa COVID-ag dahilan para umabot patungong ag,aal lahat-lahat ng mga pumanaw rito.","['67', '19', '10', '874']","{'67': ['ab', 'ad', 'ag', 'ah', 'ak'], '19': ['ab', 'ad', 'ag', 'ah', 'ak'], '10': ['ab', 'ad', 'ag', 'ah', 'ak'], '874': ['p75', 'aag', 'aal', 'aam', 'aat']}"
Sinabihan umano si Crisanto na siya ang itinalaga na magiging bagong hari na itatayo ng bagong kulto.,Sinabihan umano si Crisanto na siya ang itinalaga na magiging bagong hari na magtatayo ng bagong kulto.,Sinabihan umano si ibinanto na siya ang itinalaga na magiging bagong hari na itatayo ng bagong kulto.,['Crisanto'],"{'Crisanto': ['disento', 'ibanto', 'ibinanto', 'isisante', 'presinto']}"
Halos kasabay ito ng isa ring bill na kung saan siya din ang nag-co-author kina Cong.,Halos kasabay ito ng isa ring bill na kung saan siya rin ang nag-co-author kina Cong.,Halos kasabay ito ng isa ring bill na kung saan siya rin ang nag-co-author kina cing.,['Cong'],"{'Cong': ['bong', 'cang', 'cing', 'con', 'cond']}"
Kadadalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon.,Dumalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon.,karawalan rin ang grupo nila sa Philippine Consulate sa lugar na yon.,['Karadalaw'],"{'Karadalaw': ['kamakalaw', 'karadagan', 'karawalan', 'dadalaw', 'daladala']}"
Iilan-lang silang nandun sa ituktok.,Iilan lang silang nandun sa ituktok.,Iilan-lang silang anden sa ituktok.,['nandun'],"{'nandun': ['andun', 'nandon', 'anden', 'andon', 'ganun']}"
"Ayon sa kapatid ng isa sa tatlong dalagitang naglalakad, bibili lang daw ng yelo ang mga ito nang tamaan sila ng ng van.","Ayon sa kapatid ng isa sa tatlong dalagitang naglalakad, bibili lang daw ng yelo ang mga ito nang tamaan sila ng van.","Ayon sa kapatid ng isa sa tatlong dalagitang naglalakad, bibili lang daw ng yelo ang mga ito nang tamaan sila ng ng van.",[],{}
"Gumagawa ng guidelines ngayon ang DOH kung paano yong interchangeability o mixing ng vaccines in case the second dose cannot be given na identical roon sa first dose, ayon kay Domingo.","Gumagawa ng guidelines ngayon ang DOH kung paano yong interchangeability o mixing ng vaccines in case the second dose cannot be given na identical doon sa first dose, ayon kay Domingo.","Gumagawa ng guidelines ngayon ang DOH kung paano yong interchange o mixing ng vaccines in case the second dose cannot be given na neutical roon sa first dose, ayon kay daming.","['interchangeability', 'irentical', 'Domingo']","{'interchangeability': ['interconnectivity', 'interoperability', 'interchange', 'interchanges', 'interoperatibility'], 'irentical': ['critical', 'identidad', 'neutical', 'practical', 'rental'], 'Domingo': ['domino', 'coming', 'daming', 'doing', 'domina']}"
Kumolekta din ang national team ng anim na silver at siyam na bronze medals sa 2019 biennial meet na idinaos sa bansa.,Kumolekta rin ang national team ng anim na silver at siyam na bronze medals sa 2019 biennial meet na idinaos sa bansa.,Kumolekta rin ang national team ng anim na silver at siyam na bronze medals sa aako biennial meet na irinaos sa bansa.,['2019'],"{'2019': ['aaba', 'aag', 'aako', 'aal', 'aala']}"
Nadagdagan pa sa 20 barangay sa kabuuang binibilang na 33 ang inilagay sa lockdown ng Pasay City government dahil sa mataas na kaso ng COVID.,Nadagdagan pa sa 20 barangay sa kabuuang bilang na 33 ang inilagay sa lockdown ng Pasay City government dahil sa mataas na kaso ng COVID.,Naragdagan pa sa ag barangay sa kabuuang binibilang na ad ang inilagay sa lockdown ng panay City government dahil sa mataas na kaso ng COVID.,"['20', '33', 'Pasay']","{'20': ['ab', 'ad', 'ag', 'ah', 'ak'], '33': ['p3', 'ab', 'ad', 'ag', 'ah'], 'Pasay': ['pakay', 'palay', 'panay', 'pasa', 'pasag']}"
Medyo malat pa ang boses niya dahil nagpapagaling pa siya sa COVID 19 kasama ang asawa niyang si si Atty.,Medyo malat pa ang boses niya dahil nagpapagaling pa siya sa COVID 19 kasama ang asawa niyang si Atty.,Medyo malat pa ang boses niya dahil nagpapagaling pa siya sa COVID ag kasama ang asawa niyang si si aat.,"['19', 'Atty']","{'19': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Atty': ['atay', 'fatty', 'aat', 'aato', 'abay']}"
Magpapatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG.,Nagpatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG.,Magpapatuloy ang palitan ng radio challenges ng pcs Cessna at ng barko ng aag.,"['PCG', 'CCG']","{'PCG': ['mcg', 'pag', 'pcs', 'peg', 'pg'], 'CCG': ['cc', 'mcg', 'aag', 'ace', 'act']}"
"Sa isang pahayag, sinabi ng DBM na tinatapos na nito ang plano para sa tinatawag nitong ??rightsizing?? ng pamahalaan at nakatakdang isumite ito sa Kongreso bago magState of the Nation Address si Pangulong Ferdinand Marcos Jr.","Sa isang pahayag, sinabi ng DBM na tinatapos na nito ang plano para sa tinatawag nitong ??rightsizing?? ng pamahalaan at nakatakdang isumite ito sa Kongreso bago mag-State of the Nation Address si Pangulong Ferdinand Marcos Jr.","Sa isang pahayag, sinabi ng dim na tinatapos na nito ang plano para sa tinatawag nitong ??rightsizing?? ng pamahalaan at nakatakdang isumite ito sa Kongreso bago magsiste of the Nation Address si Pangulong Ferdinand Marcos Jr.","['DBM', 'magState']","{'DBM': ['bbm', 'dam', 'dim', 'dom', 'aam'], 'magState': ['magnate', 'magsakate', 'magsiste', 'magstart', 'magtae']}"
Maaari pa anilang magbago ang naturang bilang ng mga kaso sa lungsod-dahil na rin sa isinasagawang community-based testing.,Maaari pa anilang magbago ang naturang bilang ng mga kaso sa lungsod dahil na rin sa isinasagawang community-based testing.,Maaari pa anilang magbago ang naturang bilang ng mga kaso sa lungsod-dahil na rin sa isinasagawang community-based testing.,[],{}
Ikinagalak ni Senator Christopher ??Bong? Go ang pagsisikap ng Food and Drug Administration (FDA) na gawing ko mersyal ang mga bakuna laban sa COVID-19 sa bansa.,Ikinagalak ni Senator Christopher ??Bong? Go ang pagsisikap ng Food and Drug Administration (FDA) na gawing komersyal ang mga bakuna laban sa COVID-19 sa bansa.,Ikinagalak ni Senator Christopher ??Bong? Go ang pagsisikap ng Food and Drug Administration (FDA) na gawing ko marshal ang mga bakuna laban sa COVID-ag sa bansa.,"['mersyal', '19']","{'mersyal': ['marsyal', 'komersyal', 'marshal', 'masyal', 'menswal'], '19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Funny nga dahil 'yung time na 'yun na nagkaroon kami ng first gathering with everyone sa cast, nasa isang restaurant kami, usually ang restaurant magkakatabi kayo, tapos kumakain kayo-sa isang table.","Funny nga dahil 'yung time na 'yun na nagkaroon kami ng first gathering with everyone sa cast, nasa isang restaurant kami, usually ang restaurant magkakatabi kayo, tapos kumakain kayo sa isang table.","fun nga dahil 'yung time na 'yun na nagkaroon kami ng first gathering with everyone sa cast, nasa isang restaurant kami, usually ang restaurant magkakatabi kayo, tapos kumakain kayo-sa isang table.",['Funny'],"{'Funny': ['runny', 'fully', 'fun', 'fund', 'funds']}"
Ngayong October 21 ay bibisita si Pangulong Rodrigo Duterte sa Region 4-A (CALABARZON) upang personal na tignan ang resulta nang BDP itinuturing na flagship project ng pamahalang Duterte.,Ngayong October 21 ay bibisita si Pangulong Rodrigo Duterte sa Region 4-A (CALABARZON) upang personal na tignan ang resulta ng BDP itinuturing na flagship project ng pamahalang Duterte.,Ngayong cooker ag ay bibisita si Pangulong Rodrigo suwerte sa Region d-ag (CALABARZON) upang personal na tignan ang resulta nang ad itinuturing na flagship project ng pamahalang suwerte.,"['October', '21', 'Duterte', '4', 'A', 'BDP', 'Duterte']","{'October': ['actor', 'closer', 'cooker', 'cooler', 'cover'], '21': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], '4': ['b', 'c', 'd', 'e', 'f'], 'A': ['ab', 'ad', 'ag', 'ah', 'ak'], 'BDP': ['bdo', 'pdp', 'ad', 'ada', 'add']}"
"Nagsasabi pa ng aktres na ""smart decision"" ang pagtanggap niya sa mapangahas na role bilang night club dancer sa ""Burlesque Queen,"" mula sa kaniyang sweet image.","Sinabi pa ng aktres na ""smart decision"" ang pagtanggap niya sa mapangahas na role bilang night club dancer sa ""Burlesque Queen,"" mula sa kaniyang sweet image.","Nagsasabi pa ng aktres na ""smart decision"" ang pagtanggap niya sa mapangahas na role bilang night club dancer sa ""barbecue Queen,"" mula sa kaniyang sweet image.",['Burlesque'],"{'Burlesque': ['burles', 'burlesk', 'barbecue', 'bureau', 'bureaus']}"
"Ang nagutos sa amin na palitan ??yun ay si Ma??am Krizle Grace Mago, ayon sa empleyado.","Ang nag-utos sa amin na palitan ??yun ay si Ma??am Krizle Grace Mago, ayon sa empleyado.","Ang nagutos sa amin na palitan ??yun ay si Ma??am rigle Grace Mago, ayon sa empleyado.",['Krizle'],"{'Krizle': ['prize', 'rifle', 'rigle', 'rile', 'riple']}"
Dadalhin rin nina KZ Tandingan at Yeng Constantino ang live musical experience sa mga tahanan sa kani-kanilang digital concerts.,Dadalhin din nina KZ Tandingan at Yeng Constantino ang live musical experience sa mga tahanan sa kani-kanilang digital concerts.,Dadalhin din nina kg kandungan at eng konstanteng ang live musical experience sa mga tahanan sa kani-kanilang digital concerts.,"['KZ', 'Tandingan', 'Yeng', 'Constantino']","{'KZ': ['k', 'ka', 'kg', 'kh', 'km'], 'Tandingan': ['tandangan', 'taningan', 'kandungan', 'padingan', 'pandungan'], 'Yeng': ['beng', 'deng', 'eng', 'meng', 'peng'], 'Constantino': ['constant', 'constantly', 'konstanteng', 'consulting', 'contain']}"
"Batangas, Philippines ??Inaresto ng mga tauhan tauhan ng Calaca Municipal Police Station ang walong katao nasangkot sa pangangalakal ng mga pilfered petroleum products sa Barangay Salong, Calaca City nitong Lunes ng umaga.","Batangas, Philippines ??Inaresto ng mga tauhan ng Calaca Municipal Police Station ang walong katao nasangkot sa pangangalakal ng mga pilfered petroleum products sa Barangay Salong, Calaca City nitong Lunes ng umaga.","Batangas, Philippines ??Inaresto ng mga tauhan tauhan ng abaca Municipal Police Station ang walong katao nasangkot sa pangangalakal ng mga pileges petroleum products sa Barangay Salong, abaca City nitong Lunes ng umaga.","['Calaca', 'pilfered', 'Calaca']","{'Calaca': ['aalaga', 'aalala', 'abaca', 'alaga', 'alala'], 'pilfered': ['filtered', 'prefered', 'pileges', 'pilferage', 'powdered']}"
"Ok daw, pero mas bongga raw kung lalantad siyang preggy na or kung sinabi niyang magpapakasal na sila ni Gerald Anderson.","Ok daw, pero mas bongga raw kung lalantad siyang preggy na or kung sasabihin niyang magpapakasal na sila ni Gerald Anderson.","Ok daw, pero mas bongga raw kung lalantad siyang areglo na or kung sinabi niyang magpapakasal na sila ni Gerald aiders.","['preggy', 'Anderson']","{'preggy': ['piggy', 'prexy', 'areglo', 'brgy', 'creamy'], 'Anderson': ['andoroon', 'adamson', 'aiders', 'anden', 'anderpas']}"
Hanggang ngayon siya yung sumasama sa amin sa sa ocular sa kasal.,Hanggang ngayon siya yung sumasama sa amin sa ocular sa kasal.,Hanggang ngayon siya yung sumasama sa amin sa sa ocular sa kasal.,[],{}
"Sabi nga nila it??s not the destination, its the journey kumbaga kahit na gaano pa kahirap yung pinagdaanan mo kung hindi mo nanamnamin yun, parang wala din yung pagkanakarating ka sa dulo.","Sabi nga nila it??s not the destination, its the journey kumbaga kahit na gaano pa kahirap yung pinagdaanan mo kung hindi mo nanamnamin yun, parang wala rin yung pagkanakarating ka sa dulo.","Sabi nga nila it??s not the destination, its the journey kumbaga kahit na gaano pa kahirap yung pinagdaanan mo kung hindi mo nanamnamin yun, parang wala rin yung magkakalapating ka sa dulo.",['pagkanakarating'],"{'pagkanakarating': ['pagkakahating', 'pagkakakaunting', 'magkakalapating', 'makakarating', 'nagkakalapating']}"
"So ngayon, Tito Boy, mag-iisang taon-mahigit na rin po kami.","So ngayon, Tito Boy, mag-iisang taon mahigit na rin po kami.","So ngayon, Tito Boy, mag-iisang taon-mahigit na rin po kami.",[],{}
